Organization Name,Transaction Type,Firm/Interruptable,Volume (MW),Min Price,Max Price,Point Name,
                                                                                          , ,    ,           ,              ,              ,SP-15,
"NewEnergy, Inc.                                                                           ",S,I   ,-110450,27.1,27.1,COB N/S,
"Niagara Mohawk Energy Marketing, Inc.                                                     ",S,F   ,-59200,30.75,93,PJM-Western Hub,
Northeast Utilities Service Company                                                       ,S,F   ,-80400,47.49,110,NEPOOL PTF,
Northern California Power Agency                                                          ,S,F   ,-20800,83,221,COB N/S,
                                                                                          , ,    ,           ,              ,              ,NP-15,
Northern Indiana Public Service Company                                                   ,S,F   ,-670400,20.5,105,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
Northern Indiana Public Service Company                                                   ,S,I   ,-956,25,300,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,NIPS System Border ,
                                                                                          , ,    ,           ,              ,              ,NIPS-CE Interface,
"Northern States Power Company, a Minnesota Corporation                                    ",S,F   ,-53920,24,75,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,WEPCO System Border,
"Northern States Power Company, a Minnesota Corporation                                    ",S,I   ,-53508,1,120,NPS System Border,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
NRG Power Marketing Inc.                                                                  ,S,F   ,-229000,25,80,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
NRG Power Marketing Inc.                                                                  ,S,I   ,-2216,35,85,CAJAN System Border,
                                                                                          , ,    ,           ,              ,              ,Entergy System Border,
                                                                                          , ,    ,           ,              ,              ,TVA-Entergy Interface,
NSTAR Companies                                                                           ,S,F   ,-637456,29.23,110,NSTAR System Border,
                                                                                          , ,    ,-356339,0,0,10 Min Spinning Reserve NEPOOL,
                                                                                          , ,    ,,              ,              ,10 Min Nonspinning Resv NEPOOL,
                                                                                          , ,    ,,              ,              ,30 Min Operating Resv NEPOOL,
                                                                                          , ,    ,,              ,              ,Auto Generation Control NEPOOL,
"OGE Energy Resources, Inc.                                                                ",S,F   ,-151200,26.75,41.75,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
"OGE Energy Resources, Inc.                                                                ",S,I   ,-100,23,23,NSP System Border,
Oglethorpe Power Corporation                                                              ,S,F   ,-11040,22,133,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AEP-TVA Interface,
                                                                                          , ,    ,           ,              ,              ,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,OPC System Border,
                                                                                          , ,    ,           ,              ,              ,SC System Border,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
Oglethorpe Power Corporation                                                              ,S,I   ,-16264,25,250,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,DUKE-Southern Interface,
                                                                                          , ,    ,           ,              ,              ,FPL System Border,
                                                                                          , ,    ,           ,              ,              ,OPC System Border,
                                                                                          , ,    ,           ,              ,              ,OPC-SC Interface,
                                                                                          , ,    ,           ,              ,              ,SC System Border,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,TVA System Border,
                                                                                          , ,    ,           ,              ,              ,TVA-SOUTHERN Interface,
                                                                                          , ,    ,           ,              ,              ,TVA-SOUTHERN(OPC) Interface,
Oklahoma Gas And Electric Company                                                         ,S,F   ,-1600,40,40,Entergy (Into) System Border,
Otter Tail Power Company                                                                  ,S,F   ,-110,48,100,Otter Tail System Border,
Otter Tail Power Company                                                                  ,S,I   ,-57496,22,120,Minnesota Power System Border,
                                                                                          , ,    ,           ,              ,              ,Otter Tail System Border,
                                                                                          , ,    ,           ,              ,              ,WAUM System Border,
Pacific Gas & Electric Company                                                            ,S,F   ,-132600,71.5,91.5,NP-15,
Pacific Northwest Generating Cooperative                                                  ,S,F   ,-61060,30,91.5,MID COLUMBIA,
Pacificorp                                                                                ,S,F   ,-1352154,5,1000,AMPS Line,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COB S/N,
                                                                                          , ,    ,           ,              ,              ,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,NOB S/N,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,Pacificorp System Border,
                                                                                          , ,    ,           ,              ,              ,Portland General System,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,Willamette Ind. Busbar,
Pacificorp                                                                                ,S,I   ,-28493,2,250,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,Pacificorp System Border,
                                                                                          , ,    ,           ,              ,              ,Willamette Ind. Busbar,
Peco Energy Company                                                                       ,S,F   ,-173500,20,205,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,FirstEnergy System Border,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
Peco Energy Company                                                                       ,S,I   ,-628,20,20,APSE System Border,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
"PG&E Energy Trading - Power, L.P.                                                         ",S,F   ,-4453985,9.07,330,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"PG&E Energy Trading - Power, L.P.                                                         ",S,I   ,-1085,32.5,84.78,COMED (out of) System Border,
                                                                                          , ,    ,           ,              ,              ,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,MECS System Border,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
Pinnacle West Capital Corporation                                                         ,S,F   ,-56192,5,300,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
Pinnacle West Capital Corporation                                                         ,S,I   ,-568,5,250,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
"PJM Interconnection, L.L.C.                                                               ",S,FTR,-1282632,12.63,172.71,PJM FTR,
                                                                                          ,S,F,-479980,5,801.55,AP to PJM,
                                                                                          , ,    ,           ,              ,              ,FirstEnergy System Border,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,NYPP ICAP,
                                                                                          , ,    ,           ,              ,              ,NYPP-E to PJM,
                                                                                          , ,    ,           ,              ,              ,PJM,
                                                                                          , ,    ,           ,              ,              ,AECI System Border,
                                                                                          , ,    ,           ,              ,              ,PJM to NYPP-E,
                                                                                          , ,    ,           ,              ,              ,PJM to NYPP-W,
                                                                                          , ,    ,           ,              ,              ,PJM-APS Interface,
                                                                                          , ,    ,           ,              ,              ,PJM-BGE,
                                                                                          , ,    ,           ,              ,              ,PJM-CEI Interface,
                                                                                          , ,    ,           ,              ,              ,PJM-NY EAST,
                                                                                          , ,    ,           ,              ,              ,PJM-NY WEST,
                                                                                          , ,    ,           ,              ,              ,PJM-NYPP Interface,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
"PJM Interconnection, L.L.C.                                                               ",S,I   ,-112421,6.72,198.7,CEI to PJM,
                                                                                          , ,    ,           ,              ,              ,FirstEnergy System Border,
                                                                                          , ,    ,           ,              ,              ,NYPP-E to PJM,
                                                                                          , ,    ,           ,              ,              ,NYPP-W to PJM,
                                                                                          , ,    ,           ,              ,              ,PJM,
                                                                                          , ,    ,           ,              ,              ,PJM to AP,
                                                                                          , ,    ,           ,              ,              ,PJM to CEI,
                                                                                          , ,    ,           ,              ,              ,PJM to NYPP-E,
                                                                                          , ,    ,           ,              ,              ,PJM-APS Interface,
                                                                                          , ,    ,           ,              ,              ,PJM-CEI Interface,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
Portland General Electric Company                                                         ,S,F   ,-430145,70.73,3322.42,BPA Busbar,
                                                                                          , ,    ,           ,              ,              ,COB S/N,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Portland General System,
Potomac Electric Power Company                                                            ,S,F   ,-16800,33.75,33.75,PJM-Western Hub,
Powerex Corp.                                                                             ,S,F   ,-715450,30,290,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,NOB S/N,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,Pacificorp System Border,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,WWP-Lolo,
Powerex Corp.                                                                             ,S,I   ,-377513,24.01,250,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,John Day,
                                                                                          , ,    ,           ,              ,              ,Malin,
"PPL EnergyPlus, LLC                                                                       ",S,F   ,-251200,24.85,78,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"PPL Montana, LLC                                                                          ",S,F   ,-6566,100,685,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Montana System Border,
PSEG Energy Resources & Trade LLC                                                         ,S,F   ,-1640400,18.9,98,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
Public Service Company Of Colorado                                                        ,S,F   ,-2035293,25.2,1400,Ault,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,Four Corners-230KV,
                                                                                          , ,    ,           ,              ,              ,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,San Juan,
Public Service Company Of Colorado                                                        ,S,I   ,-2089,8,225,Four Corners-230KV,
                                                                                          , ,    ,           ,              ,              ,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
Public Service Company Of New Mexico                                                      ,S,F   ,-320017,8,520,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,San Juan,
Public Service Company Of New Mexico                                                      ,S,I   ,-5995,10,200,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
Public Utility Dist. No. 2 of Grant Cty                                                   ,S,F   ,-151643,70,400,MID COLUMBIA,
Public Utility Dist. No. 2 of Grant Cty                                                   ,S,I   ,-90,200,200,MID COLUMBIA,
Public Utility District #1 of Chelan County                                               ,S,F   ,-10400,101,101,MID COLUMBIA,
Public Utility District No. 1 of Snohomish County                                         ,S,F   ,-7900,160,700,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,John Day,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
Public Utility District No. 1 of Snohomish County                                         ,S,I   ,-70,80,280,Hot Springs,
"Puget Sound Energy, Inc.                                                                  ",S,F   ,-506419,46,3325.92,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Garrison,
                                                                                          , ,    ,           ,              ,              ,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,Montana System Border,
                                                                                          , ,    ,           ,              ,              ,NOB N/S,
                                                                                          , ,    ,           ,              ,              ,NOB S/N,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
"Puget Sound Energy, Inc.                                                                  ",S,I   ,-1174,70,275,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,Malin,
Rainbow Energy Marketing Corporation                                                      ,S,I   ,-39998,27.5,65,Manitoba System Border,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,Otter Tail System Border,
                                                                                          , ,    ,           ,              ,              ,WAUM System Border,
Reliant Energy HL&P                                                                       ,S,F   ,-22825,52,85,ERCOT System,
Reliant Energy HL&P                                                                       ,S,I   ,-29730,15,77,ERCOT System,
"Reliant Energy Services, Inc.                                                             ",S,F   ,-6417250,9.07,801.55,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
Sacramento Municipal Utility District                                                     ,S,F   ,-349720,28,238,COB N/S,
                                                                                          , ,    ,           ,              ,              ,NP-15,
Saguaro Power Company                                                                     ,S,F   ,-108,60,350,Mead-230KV,
Salt River Project Agricultural Improvement and Power District                            ,S,F   ,-104881,12,500,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
Salt River Project Agricultural Improvement and Power District                            ,S,I   ,-25460,9,215,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
San Diego Gas & Electric Company                                                          ,S,F   ,-31200,103,120.5,SP-15,
Saskatchewan Power Corporation                                                            ,S,F   ,-50,43,43,NSP System Border,
Saskatchewan Power Corporation                                                            ,S,I   ,-828,13.5,85,Sask System Border,
                                                                                          , ,    ,           ,              ,              ,Sask-WAUM Interface,
                                                                                          , ,    ,           ,              ,              ,WAUM System Border,
Seattle City Light                                                                        ,S,F   ,-232506,34.25,375,BPA System Border,
                                                                                          , ,    ,           ,              ,              ,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,John Day,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,NW Delivered,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
Seattle City Light                                                                        ,S,I   ,-816,85,375,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,Pacificorp System Border,
"Select Energy, Inc.                                                                       ",S,F   ,-262075,24.85,77,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
Sempra Energy Trading Corp.                                                               ,S,F   ,-3321640,19.7,500,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
Sempra Energy Trading Corp.                                                               ,S,I   ,-25,70,70,PALO VERDE,
Sierra Pacific Power Company                                                              ,S,F   ,-271425,28.55,252,COB N/S,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
Smurfit-Stone Container Corporation                                                       ,S,F   ,-96118,54.65,3322.67,Montana System Border,
South Carolina Electric & Gas Company                                                     ,S,F   ,-8080,11,47.5,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,SC System Border,
                                                                                          , ,    ,           ,              ,              ,SCEG System Border,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,TVA-Entergy Interface,
                                                                                          , ,    ,           ,              ,              ,TVA-SOUTHERN Interface,
                                                                                          , ,    ,           ,              ,              ,UPA System Border,
South Carolina Electric & Gas Company                                                     ,S,I   ,-12343,15.5,105,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,CP&L(East)-SCEG Interface,
                                                                                          , ,    ,           ,              ,              ,FPL System Border,
                                                                                          , ,    ,           ,              ,              ,SC System Border,
                                                                                          , ,    ,           ,              ,              ,SCEG System Border,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,TVA-Entergy Interface,
                                                                                          , ,    ,           ,              ,              ,TVA-SC Interface,
                                                                                          , ,    ,           ,              ,              ,TVA-SOUTHERN Interface,
"South Texas Electric Cooperative, Inc.                                                    ",S,F   ,-10,41,41,ERCOT System,
"South Texas Electric Cooperative, Inc.                                                    ",S,I   ,-50,85,85,ERCOT System,
Southeastern Power Administration                                                         ,S,F   ,-250,58,58,AEP System Border ,
Southeastern Power Administration                                                         ,S,I   ,-9531,16.5,109.67,DUKE System Border,
                                                                                          , ,    ,           ,              ,              ,EKPC System Border,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
"Southern Company Energy Marketing, L.P.                                                   ",S,F   ,-6999306,18.1,800,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-500 Interface (excluding Ramapo),
                                                                                          , ,    ,           ,              ,              ,PJM-WESCOSVL,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Southern Company Services, Inc.                                                           ",S,F   ,-70496,23.85,86,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
