"HAS - Hasbro, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,	,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Price-to-Free-Cash-Flow ratio,12.63,0,6.47,4.89,9.29,10.04,8.7,18.79,8.12,10.02,34.47,31.88,14.56,11.05,0,22,		,0,0,0,12.63,6.32,6.3,5.5,0,0,26.76,66.67,6.47,7.22,6.75,4.2,4.89,7.89,7.47,9.48,9.29,7.71,6.13,6.16,10.04,9.83,11.3,8.66,8.7,21.1,11.11,14.13,18.79,13.44,16.36,13.21,8.12,7.36,11.91,12.23,10.02,14.33,16.05,20.71,34.47,12.59,11.68,18.02,31.88,31.23,42.24,24.34,14.56,15.24,11.8,11.39,11.05,13.16,11.32,18.93,0
PS Ratio,0.89,0.49,0.9,0.71,1.22,1.3,1.3,1.66,1.11,1.13,1.17,1.74,1,1.16,0,1.75,		,1.65,1.49,1.09,0.89,0.76,0.71,0.49,0.49,0.63,0.77,0.8,0.9,0.88,0.75,0.63,0.71,0.86,1.09,1.12,1.22,1.24,1.18,1.21,1.3,1.38,1.33,1.23,1.3,1.35,1.26,1.47,1.66,1.66,1.55,1.3,1.11,1.16,1.43,1.33,1.13,0.98,0.93,1.06,1.17,1.37,1.5,1.56,1.74,1.73,1.54,1.11,1,1.15,1.08,1.22,1.16,1.41,1.45,1.51,0
EV-to-Revenue,1.09,0.82,1.32,0.92,1.24,1.12,1.04,1.31,0.97,1.03,1.21,1.79,1.18,1.32,0,1.75,		,1.76,1.74,1.38,1.09,0.94,0.97,0.83,0.82,0.95,1.18,1.27,1.32,1.26,1.19,1.09,0.92,1.05,1.31,1.35,1.24,1.24,1.16,1.2,1.12,1.14,1.22,1.15,1.04,1.14,0.97,1.23,1.31,1.33,1.47,1.24,0.97,1.03,1.37,1.33,1.03,0.93,1.05,1.2,1.21,1.37,1.56,1.73,1.79,1.73,1.62,1.29,1.18,1.28,1.26,1.44,1.32,1.5,1.57,1.75,0
EV-to-EBITDA,6.86,19.38,8.63,6.41,7.67,7.63,6.52,7.87,5.52,6.28,6.37,9.76,6.68,7.69,0,12.46,		,11.19,10.73,8.35,6.86,5.93,6.16,6,19.38,33.4,68.63,40.12,8.63,8.24,7.74,7.14,6.41,7.11,8.81,8.92,7.67,7.71,7.24,7.63,7.63,7.8,8.17,7.55,6.52,7.35,6.39,7.75,7.87,7.57,8.27,6.81,5.52,5.94,7.9,7.71,6.28,5.7,6.35,7.05,6.37,7.14,7.99,8.94,9.76,9.66,9.44,7.28,6.68,7.57,7.26,8.45,7.69,8.85,9.32,11.2,0
EV-to-EBIT,11.72,851.8,17.85,11.79,11.33,11.43,10.3,10.94,7.18,8.39,8.33,12.19,8.49,9.79,0,16.7,		,16.71,15.95,12.49,11.72,10.14,10.77,11.85,851.8,0,0,0,17.85,16.36,14.72,13.53,11.79,12.29,14.63,13.73,11.33,11.35,10.59,11.38,11.43,12.12,13,12.22,10.3,11.51,9.91,11.3,10.94,10.19,10.96,8.88,7.18,7.69,10.22,9.98,8.39,7.71,8.6,9.52,8.33,9.17,10.17,11.23,12.19,12.19,11.9,9.43,8.49,9.72,9.27,10.46,9.79,11.29,11.96,14.76,0
Earnings Yield (Joel Greenblatt),8.53,0.12,5.6,8.48,8.83,8.75,9.71,9.14,13.93,11.92,12,8.2,11.78,10.21,0,6,		,5.98,6.27,8.01,8.53,9.86,9.29,8.44,0.12,0,0,0,5.6,6.11,6.79,7.39,8.48,8.14,6.84,7.28,8.83,8.81,9.44,8.79,8.75,8.25,7.69,8.18,9.71,8.69,10.09,8.85,9.14,9.81,9.12,11.26,13.93,13,9.78,10.02,11.92,12.97,11.63,10.5,12,10.91,9.83,8.9,8.2,8.2,8.4,10.6,11.78,10.29,10.79,9.56,10.21,8.86,8.36,6.78,0
Forward Rate of Return,9.79,5.96,-17.34,-7.88,0.9,21.04,33.27,7.37,14.43,24.29,28.92,24.74,14.65,12.81,0,7.17,		,11.43,7.17,8.41,9.79,10.4,11.66,11.63,5.96,-4.16,-11.81,-20.51,-17.34,-15.39,-12.4,-9.82,-7.88,-5.47,-2.19,-0.61,0.9,4.5,8.43,17.18,21.04,28.97,34.15,38.6,33.27,27.38,15.7,8.03,7.37,12.02,12.86,13.26,14.43,16.45,19.3,22.28,24.29,24.12,25.87,27.88,28.92,28.55,27.55,26.72,24.74,22.04,17.95,15.15,14.65,13.02,13.41,13.25,12.81,12.49,10.74,9.91,0
Shiller PE Ratio,20.94,21.65,33.84,24.1,41.82,39.28,40.5,31,21.94,20.78,19.05,24.06,13.91,14.22,0,21.5,		,0,0,24.6,20.94,19.11,19.32,14.3,21.65,29.75,37.23,32.65,33.84,35.57,34.13,25.38,24.1,29.73,38,41.11,41.82,42.29,36.36,34.84,39.28,42.2,43.75,40.89,40.5,43.78,36.65,39.54,31,29.96,31.73,25.53,21.94,22.35,26.35,24.12,20.78,17.28,16.21,17.49,19.05,21.75,22.88,23.33,24.06,23.16,21.05,14.63,13.91,15.69,14.22,15.26,14.22,17.53,17.6,18.46,0
Market Cap,3848.6939879999995,1830.8999999999999,2803.7325,2000.1135,3712.9344,3430.6476000000002,3599.1029999999996,4328.1175,3647.7079999999996,4060.464,4395.426,6483.4756,4102.0107,4628.946,0,7171.828,		,5668.664819999999,5472.77482,4260.009999999999,3739.005092,3177.0614399999995,2756.96,1970.99616,1830.8999999999999,2224.7340000000004,2493.203,2418.5,2803.7325,2737.9674,2347.7783999999997,1927.3821,2000.1135,2404.2201,3038.1879,3259.2864,3712.9344,3826.4775,3360.15,3327.976,3430.6476000000002,3631.3064999999997,3721.41,3504.5774999999994,3599.1029999999996,3755.5890000000004,2962.4338000000002,3613.3825,4328.1175,4603.8132000000005,5063.2919999999995,4100.3116,3647.7079999999996,3868.0559999999996,5039.377600000001,4833.023999999999,4060.464,3491.4989000000005,3390.4487999999997,3856.1400000000003,4395.426,5374.8948,5806.197000000001,6068.4934,6483.4756,6407.712000000001,5928.7928,4222.0167,4102.0107,4762.9512,4410.8901,4976.716,4628.946,5682.760200000001,5827.0034,6120.6576000000005,0
Enterprise Value,4703.893988,3099.7079999999996,3772.6144999999997,2584.9075,3903.7454000000002,3350.4266000000002,3199.8999999999996,4118.2165,3728.5219999999995,4147.383,4905.492,7167.928599999999,5041.6247,5400.031,0,7885.996,		,6156.964819999999,6608.07482,5448.41,4594.205092,4082.421439999999,4100.749,3514.8871599999998,3099.7079999999996,3303.7250000000004,3778.401,3849.822,3772.6144999999997,3584.1494,3432.0764,3058.4291000000003,2584.9075,2969.7651,3744.9069,4066.6584,3903.7454000000002,3898.0985,3575.632,3673.01,3350.4266000000002,3393.4354999999996,3694.3149999999996,3549.2214999999997,3199.8999999999996,3531.7790000000005,2977.0978000000005,3810.8675000000003,4118.2165,4402.479200000001,5121.428,4544.8816,3728.5219999999995,4052.1589999999997,5482.547600000001,5418.883,4147.383,3656.5499000000004,4145.0958,4726.567,4905.492,5655.6687999999995,6341.5340000000015,7078.7714000000005,7167.928599999999,6914.908000000001,6759.4758,5453.2937,5041.6247,5451.2462000000005,5251.121099999999,5943.634,5400.031,6172.0762,6389.929399999999,7135.234600000001,0
Net Cash (per share),-11.34,-13.78,-10.32,-8.41,-7.09,-4.95,-3.56,-5.31,-7.56,-8.24,-12.15,-12.73,-16.1,-15.27,-15.7,-15.7,		,-6.54,-10.21,-11.21,-11.67,-11.29,-13.49,-15.76,-13.78,-11.07,-11.7,-13.13,-10.32,-8.4,-10.02,-11.21,-8.41,-7.11,-8.18,-10.44,-7.09,-4.94,-5.54,-7.43,-4.95,-2.99,-4.18,-5.78,-3.56,-3.06,-4.82,-7.78,-5.31,-4.08,-5.19,-10.35,-7.56,-7.41,-9.23,-12.17,-8.24,-6.87,-12.13,-14.94,-12.15,-8.18,-10.71,-16.36,-12.73,-10.83,-13.98,-19.44,-16.1,-12.46,-14.09,-17.04,-15.27,-11.83,-13.08,-19.09,-15.7
Net Current Asset Value (per share),-6.33,-9.82,-7.21,-5.46,-4,-1.95,-0.86,-2.04,-3.2,-3.87,-5.71,-6.16,-8.77,-8.05,-8.04,-8.04,		,-3.65,-5.87,-5.68,-6.52,-8.33,-9.52,-10.32,-9.82,-9.07,-8.99,-8.72,-7.21,-6.49,-7.14,-6.93,-5.46,-5.23,-5.3,-5.83,-4,-3.53,-3.57,-3.58,-1.95,-1.5,-1.99,-1.99,-0.86,-1.53,-2.7,-3.59,-2.04,-1.73,-2.15,-4.45,-3.2,-4.26,-4.91,-5.41,-3.87,-3.84,-7.39,-7.48,-5.71,-4.56,-5.97,-7.98,-6.16,-6.3,-7.75,-10.13,-8.77,-8.29,-8.74,-8.39,-8.05,-7.63,-8,-10.34,-8.04
Projected FCF (per share),14.18,10.74,15.41,12.85,13.28,22.17,21.86,25.65,37.45,42.68,42.41,38.16,45.08,43.29,0,34.61,		,0,11.38,11.5,14.18,16.11,15.83,17.44,10.74,11.09,11.65,12.13,15.41,12.38,11.26,13.25,12.85,11.82,12.26,12.87,13.28,13.28,8.06,13.57,22.17,22.79,20.23,23.44,21.86,20.18,10.48,23.94,25.65,24.21,28.24,26.98,37.45,34.5,36.44,43.23,42.68,47.33,46.96,44.32,42.41,49.7,47.46,47.52,38.16,46.9,47.92,45.78,45.08,51.46,36.1,39.93,43.29,38.22,37.9,34.61,0
Median PS (per share),27.5,28.08,23.21,20.9,22.46,19.27,20.02,21.14,29.82,33.26,35.44,35.01,40.96,40.05,0,40.18,		,22.61,24.17,25.35,27.5,28.39,28.99,29.84,28.08,26.29,24.07,22.68,23.21,23.16,23.27,22.73,20.9,20.81,20.68,21.57,22.46,22.61,20.78,20.03,19.27,19.09,20.24,20.54,20.02,20.12,18.61,19.92,21.14,22.3,26.12,27.59,29.82,31.08,32.25,33.79,33.26,33.13,33.68,33.67,35.44,36.07,35.38,36.84,35.01,34.84,36.84,37.75,40.96,41.27,40.57,40.51,40.05,40.21,39.87,40.18,0
Peter Lynch Fair Value (per share),8.54,-4.45,0,0,0,13.05,26.35,8.25,15.2,31.2,50.38,48.65,27.06,15.27,0,0,		,6.84,8.28,10.06,8.54,9.75,8.75,4.79,-4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,8.92,13.05,16.78,23.74,25.7,26.35,18.71,5.28,5.92,8.25,12.44,8.43,10.1,15.2,19.69,26.01,30.15,31.2,32.94,35.62,39.09,50.38,55.78,55.95,57.37,48.65,38.26,32.73,28.91,27.06,21.87,19.04,17.1,15.27,13.65,0,0,0
Graham Number (per share),3.56,0,0,0.91,5.47,8.65,9.82,10.48,12.55,11.13,15.91,17.42,15.78,16.73,16.44,16.44,		,6.97,6.44,7.53,3.66,0,0,0,0,0,0,0,0,0,0,0,0.91,1.54,3.03,2.98,5.47,5.56,5.95,7.06,8.65,8.43,8.19,8.96,9.82,9.16,8.49,8.7,10.48,11.3,11.09,11.04,12.55,9.91,9.56,23.37,11.13,10.96,10.22,12.34,15.91,17.56,16.59,16,17.42,15.56,15.18,14.87,15.78,15.09,14.95,16.82,16.73,16.14,15.95,14.02,16.44
Altman Z-Score,2.54,1.82,2.57,2.35,3.37,3.4,3.71,4.25,4.15,4.48,3.94,4.35,3.73,3.72,0,3.76,		,4.37,3.49,2.99,2.54,2.77,2.59,2.08,1.82,2.04,2.03,1.91,2.57,2.67,2.55,2.26,2.35,2.93,3.18,2.94,3.37,3.85,3.73,3.47,3.4,3.77,3.86,3.47,3.71,4.35,4.07,3.97,4.25,4.97,5.18,4.06,4.15,4.29,4.6,4.33,4.48,4.65,3.79,3.59,3.94,4.13,4.29,4.03,4.35,4.42,4.28,3.72,3.73,4.08,3.85,3.67,3.72,4.19,3.93,3.54,0
Piotroski F-Score,6,4,7,7,7,5,7,7,8,5,6,4,6,7,0,6,		,5,5,6,6,5,5,5,4,3,3,3,7,7,7,7,7,7,7,7,7,7,6,6,5,6,7,8,7,6,5,6,7,8,9,8,8,7,7,7,5,5,5,5,6,7,5,7,4,5,3,3,6,6,7,7,7,7,6,6,0
Beneish M-Score,-2.57,-3.18,-2.98,-3.2,-2.7,-2.39,-2.65,-2.53,-2.6,-2.81,-1.6,-2.55,-2.38,-2.76,0,-2.6,		,-2.1,-1.88,-2.23,-2.57,-3.11,-3.3,-3.19,-3.18,-3.05,-3.19,-2.77,-2.98,-2.66,-2.49,-2.71,-3.2,-2.91,-3.02,-2.78,-2.7,-3.24,-3.36,-3.16,-2.39,-2.43,-2.19,-2.47,-2.65,-2.06,-2.59,-2.45,-2.53,-2.31,-2.33,-2.53,-2.6,-2.81,-2.51,-2.6,-2.81,-2.61,-2.34,-2.25,-1.6,-2.26,-2.73,-2.53,-2.55,-2.43,-2.14,-2.35,-2.38,-2.63,-2.84,-2.76,-2.76,-2.67,-2.86,-2.6,0
Highest Stock Price,28,17.06,18.22,13.74,22.48,19.7,22.11,27.43,32.78,40.8,32.43,49.69,46,39.96,0,,		,29.94,36.5,28,23.5,18.44,18.13,17.06,12.44,14.05,15.54,17.45,18.22,16.97,16.65,13.74,13.08,14.6,18.03,19.2,22.48,22.86,23.33,18.96,19.7,21.12,20.79,22.11,20.64,21.76,21.01,22.75,27.43,30,33.02,32.78,30.54,28.82,39.29,40.8,34.37,29.61,28.59,28.9,32.43,39.22,43,45.38,49.69,47.33,48.33,46,38.94,37.34,37.34,39.96,39.3,43.94,48.46,49.3,0
Lowest Stock Price,17.19,9.13,10.31,10.06,11.29,17,18.56,17.49,25.58,21.73,21.32,30.55,31.65,31.9,0,,		,22.88,27.44,21.5,17.19,14.13,15.38,10.31,9.13,10.31,11.57,12.6,13.38,13.14,13.56,11.13,10.06,11.29,13.96,17.31,19.25,19.5,17.55,17.53,17,18.56,18.65,19.45,18.58,19.61,17.94,17.49,22.49,27.14,28.75,26.16,25.58,21.73,29.27,34,22.53,21.32,22.58,23.04,27.07,30.55,38.11,39.34,44.55,43.39,42.67,32.61,31.65,31.9,32.27,32.35,35.31,35.35,43.03,44.76,0
Tangibles book per share,0.61,-2.2,-1.24,0.08,1.32,3.01,3.61,3.37,3,2.5,4.12,4.66,3.7,4.78,5.49,5.49,		,1.99,1.51,1.9,0.62,-1.2,-1.3,-1.7,-2.2,-2.27,-2.18,-1.85,-1.24,-1.25,-0.79,-0.39,0.08,0.2,0.54,0.43,1.32,1.34,1.48,2.06,3.01,3.02,2.72,3.18,3.61,3.15,2.52,2.47,3.37,3.41,3.59,2.59,3,1.79,1.55,9.74,2.5,2.57,2.23,3.1,4.12,4.65,4.13,3.66,4.66,4.14,3.73,3.29,3.7,3.59,3.68,4.75,4.78,4.51,4.52,3.97,5.49
