District Name,District NCES/CCD ID Code,School Name,School NCES/CCD ID Code,School Received Title I Funds for SY 2006-2007?,Area(s) in Which School Did Not Meet AYP,,,,,,Made AYP for SY 2006- 2007?,School Improvement Status for SY 2007-2008
Northwest Local SD,3904736,Welch Elementary School,390473602865,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Northwest Local SD,3904736,White Oak Middle School,390473602866,No,No,Yes,No,Yes,Yes,,No,SI-1
Northwest Local SD,3904963,Northwest Middle School,390496300490,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Northwestern Local SD,3904626,Northwestern Middle School,390462602496,No,No,Yes,No,Yes,Yes,,No,SI-2
Norwood City SD,3904457,Allison Street Elementary School,390445701459,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Oakstone Community School,3900383,Oakstone Community School,390038304920,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Oberlin City SD,3904459,Eastwood Elementary School,390445901470,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Oberlin City SD,3904459,Langston Middle School,390445901472,No,No,Yes,Yes,Yes,Yes,,No,SI-1 (Delay)
Oberlin City SD,3904459,Prospect Elementary School,390445901473,Yes,No,Yes,No,Yes,Yes,,No,SI-1
"Ohio Connections Academy, Inc.",3900250,"Ohio Connections Academy, Inc.",390025005193,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Ohio Virtual Academy,3900180,Ohio Virtual Academy,390018004704,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Olentangy Local SD,3904676,Olentangy Orange Middle School,390467604600,No,No,Yes,No,Yes,Yes,,No,SI-2
Olentangy Local SD,3904676,Olentangy Shanahan Middle School,390467602650,No,No,Yes,No,Yes,Yes,,No,SI-1
Omega School of Excellence,3900076,Omega School of Excellence,390007603382,Yes,No,Yes,No,Yes,Yes,,No,R-P
Oregon City SD,3904460,Clay High School,390446001475,No,No,Yes,Yes,Yes,,Yes,No,SI-1
Orion Academy,3900308,Orion Academy,390030804845,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Orrville City SD,3904461,Orrville Junior High School,390446101486,No,No,Yes,Yes,Yes,Yes,,No,SI-1
P.A.C.E. High School,3900544,P.A.C.E. High School,390054405256,Yes,No,No,No,No,,No,No,SI-1
Painesville City Local SD,3910015,Cedarbrook Middle School,391001501491,No,No,Yes,No,Yes,Yes,,No,R-P
Paint Valley Local SD,3904951,Paint Valley Elementary School,390495103618,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
Parma City SD,3904463,Greenbriar Middle School,390446301500,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Parma City SD,3904463,James E. Hanna Elementary School,390446300623,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
Parma City SD,3904463,John Muir Elementary School,390446301504,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Parma City SD,3904463,Parma High School,390446301506,No,No,Yes,Yes,Yes,,Yes,No,SI-1
Patrick Henry Local SD,3904759,Deshler Elementary School,390475902922,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Patrick Henry Local SD,3904759,Malinta-Grelton Elementary School,390475902924,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Patrick Henry Local SD,3904759,Patrick Henry Middle School,390475904619,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Paul Laurence Dunbar Academy,3900144,Paul Laurence Dunbar Academy,390014404756,Yes,No,Yes,No,Yes,Yes,,No,CA
Performing Arts School of Toledo,3900054,Performing Arts School of Toledo,390005403067,No,Yes,Yes,No,Yes,,Yes,No,SI-1
Perry Local SD,3904578,Perry Elementary School,390457802341,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Perry Local SD,3904992,Pfeiffer Middle School,390499203751,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Phoenix Academy Community School,3900126,Phoenix Academy Community School,390012604176,No,Yes,No,No,No,,No,No,CA
Pickerington Local SD,3904689,Pickerington Lakeview Junior High School,390468904604,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Pinnacle Academy,3900299,Pinnacle Academy,390029904836,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Piqua City SD,3904464,Piqua High School,390446401526,No,No,Yes,No,Yes,,Yes,No,SI-2
Piqua City SD,3904464,Piqua Junior High School,390446402644,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Plain Local SD,3904993,Avondale Elementary School,390499303757,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Plain Local SD,3904993,Charles L. Warstler Elementary School,390499303758,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Plain Local SD,3904993,Frazer Elementary School,390499303760,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Plain Local SD,3904993,Ransom H. Barr Elementary School,390499303766,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Polly Fox Academy Community School,3900125,Polly Fox Academy Community School,390012504175,Yes,No,No,Yes,No,,Yes,No,SI-2
Portsmouth City SD,3910027,East Portsmouth Elementary,391002701539,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Portsmouth City SD,3910027,Portsmouth Elementary School,391002703706,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Portsmouth City SD,3910027,Portsmouth Jr./Sr. High School,391002701544,Yes,No,Yes,No,Yes,,Yes,No,CA
Princeton City SD,3904467,Princeton Community Middle School,390446701553,No,No,Yes,No,Yes,Yes,,No,R-P
Princeton City SD,3904467,Princeton High School,390446701554,No,No,Yes,No,Yes,,Yes,No,CA
Princeton City SD,3904467,Woodlawn Elementary School,390446701559,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
Quest Academy Community School,3900075,Quest Academy Community School,390007503368,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Ravenna City SD,3904468,Brown Middle School,390446801560,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Reynoldsburg City SD,3904700,French Run Elementary School,390470002736,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Reynoldsburg City SD,3904700,Hannah J. Ashton Middle School,390470002741,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Reynoldsburg City SD,3904700,Reynoldsburg Junior High School,390470002740,No,No,Yes,Yes,Yes,Yes,,No,SI-2 (Delay)
Richard Allen Preparatory School,3900073,Richard Allen Preparatory School,390007303361,Yes,No,Yes,Yes,Yes,Yes,,No,CA
Richmond Heights Local SD,3904659,Richmond Heights Middle School,390465902604,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Ridgedale Local SD,3904843,Ridgedale Elementary School,390484303251,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Ripley-Union-Lewis-Huntington Local SD,3904607,Ripley-Union-Lewis-Huntington High School,390460702421,No,No,Yes,No,Yes,,Yes,No,SI-2
Riverside Academy,3900043,Riverside Academy,390004302979,Yes,No,Yes,Yes,Yes,Yes,,No,CA
Riverside Local SD,3910014,Riverside Jr./Sr. High School,391001403033,No,No,Yes,No,Yes,,Yes,No,SI-1
Riverside Local SD,3904809,Riverside Elementary School,390480903108,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Riverside Local SD,3904809,Riverside High School,390480903109,No,Yes,Yes,No,Yes,,Yes,No,SI-1
Rock Hill Local SD,3904794,Rock Hill Elementary School,390479404629,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Rock Hill Local SD,3904794,Rock Hill Middle School,390479404630,No,No,Yes,No,Yes,Yes,,No,SI-1
Rolling Hills Local SD,3904730,Brook Elementary School,390473002831,Yes,Yes,Yes,No,Yes,Yes,,No,SI-2
Rolling Hills Local SD,3904730,Byesville Elementary School,390473002832,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Rolling Hills Local SD,3904730,Meadowbrook Middle School,390473004166,No,No,Yes,No,Yes,Yes,,No,SI-1
Rossford Exempted Village SD,3904560,Rossford Junior High School,390456004309,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Salem City SD,3910006,Southeast Elementary School,391000601594,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Sandusky City SD,3904474,Adams Junior High School,390447401595,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Sandusky City SD,3904474,Barker High School,390447404464,No,No,No,No,No,,Yes,No,CA
Sandusky City SD,3904474,Hancock Elementary School,390447401598,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Sandusky City SD,3904474,Madison Elementary School,390447401600,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Sandusky City SD,3904474,Mills Elementary School,390447401601,Yes,Yes,Yes,No,Yes,Yes,,No,R-P
Sandusky City SD,3904474,Osborne Elementary School,390447401604,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Sandusky City SD,3904474,Sandusky High School,390447401605,No,Yes,Yes,Yes,Yes,,Yes,Yes,SI-2 (Delay)
Sandy Valley Local SD,3904994,Magnolia Elementary School,390499403769,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Sandy Valley Local SD,3904994,Waynesburg Elementary School,390499403771,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Schnee Learning Center,3904383,Schnee Learning Center High School,390438304528,Yes,Not Rated,Not Rated,Not Rated,Not Rated,No,,No,SI-1
Scioto Valley Local SD,3904913,Piketon Jr./Sr. High School,390491303503,No,No,Yes,No,Yes,,Yes,No,SI-1
Scioto Valley Local SD,3904913,Zahns Middle School,390491303502,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Shaker Heights City SD,3904475,Shaker Heights High School,390447501616,No,No,Yes,Yes,Yes,,Yes,No,SI-2 (Delay)
Shaker Heights City SD,3904475,Shaker Heights Middle School,390447501608,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Shaker Heights City SD,3904475,Woodbury Elementary School,390447504323,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Shelby City SD,3910009,Shelby Middle School,391000901628,No,Yes,Yes,No,Yes,Yes,,No,SI-1
South Central Local SD,3904773,South Central Elementary School,390477302958,Yes,No,Yes,No,Yes,Yes,,No,SI-1
South Euclid-Lyndhurst City SD,3904479,Greenview Upper Elementary School,390447904386,No,No,Yes,Yes,Yes,Yes,,No,SI-1
South Euclid-Lyndhurst City SD,3904479,Memorial Junior High School,390447901648,No,No,Yes,No,Yes,Yes,,No,SI-2
South Euclid-Lyndhurst City SD,3904479,Rowland Elementary School,390447901650,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
South Point Local SD,3904795,South Point Middle School,390479503057,No,No,Yes,No,Yes,Yes,,No,SI-1
Southeast Local SD,3904922,Southeast Junior High School,390492203536,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Southeastern Local SD,3904952,Southeastern Middle School,390495203620,Yes,No,Yes,No,Yes,Yes,,No,CA
Southern Local SD,3904644,Southern Local Elementary School,390464402558,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Southern Local SD,3904644,Southern Local Jr./Sr. High School,390464402559,No,No,Yes,No,Yes,,Yes,No,SI-1
Southern Local SD,3904853,Southern Elementary School,390485304640,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Southern Local SD,3904906,Miller Middle School,390490603481,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Southwest Licking Local SD,3904804,Watkins Middle School,390480403098,No,No,Yes,Yes,Yes,Yes,,No,SI-2
South-Western City SD,3904480,Alton Hall Elementary School,390448001654,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
South-Western City SD,3904480,Brookpark Middle School,390448001655,No,No,Yes,No,Yes,Yes,,No,CA
South-Western City SD,3904480,Central Crossing High School,390448004553,No,Yes,Yes,No,Yes,,Yes,No,SI-2 (Delay)
South-Western City SD,3904480,Darby Woods Elementary School,390448000637,Yes,No,Yes,No,Yes,Yes,,No,SI-1
South-Western City SD,3904480,East Franklin Elementary School,390448001657,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
South-Western City SD,3904480,Finland Middle School,390448001659,No,No,Yes,No,Yes,Yes,,No,CA
South-Western City SD,3904480,Franklin Woods Intermediate Elementary School,390448003794,No,No,Yes,Yes,Yes,Yes,,No,SI-2
South-Western City SD,3904480,Galloway Ridge Intermediate Elementary School,390448003810,No,No,Yes,No,Yes,Yes,,No,R-P
South-Western City SD,3904480,Holt Crossing Intermediate Elementary School,390448003796,No,No,Yes,Yes,Yes,Yes,,No,SI-2
South-Western City SD,3904480,Jackson Middle School,390448004552,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
South-Western City SD,3904480,James A. Harmon Elementary School,390448001675,Yes,No,Yes,No,Yes,Yes,,No,SI-2
South-Western City SD,3904480,North Franklin Elementary School,390448001667,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
South-Western City SD,3904480,Norton Middle School,390448001668,No,No,Yes,No,Yes,Yes,,No,CA
South-Western City SD,3904480,Park Street Intermediate Elementary School,390448003813,No,No,Yes,Yes,Yes,Yes,,No,SI-1
South-Western City SD,3904480,Pleasant View Middle School,390448001670,No,No,Yes,No,Yes,No,,No,CA
South-Western City SD,3904480,Prairie Lincoln Elementary School,390448001671,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
South-Western City SD,3904480,Prairie Norton Elementary School,390448001672,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
South-Western City SD,3904480,Stiles Elementary School,390448001676,Yes,No,Yes,No,Yes,Yes,,No,SI-2
South-Western City SD,3904480,West Franklin Elementary School,390448001678,Yes,No,Yes,No,Yes,Yes,,No,R-P
Springfield Academy of Excellence,3900099,Springfield Academy of Excellence,390009904014,Yes,No,Yes,Yes,Yes,Yes,,No,CA
Springfield City SD,3904481,Clark Middle School,390448101680,Yes,No,Yes,No,Yes,No,,No,R-P
Springfield City SD,3904481,Fulton Elementary School,390448101684,Yes,No,Yes,No,Yes,Yes,,No,CA
Springfield City SD,3904481,Hayward Middle School,390448101686,Yes,No,Yes,Yes,Yes,Yes,,No,CA
Springfield City SD,3904481,Keifer Center High School,390448100117,Yes,No,No,Yes,No,,Yes,No,SI-1
Springfield City SD,3904481,Kenton Elementary School,390448101689,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Springfield City SD,3904481,Kenwood Elementary School,390448101690,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Springfield City SD,3904481,Lagonda Elementary School,390448101691,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Springfield City SD,3904481,Lincoln Elementary School,390448101692,Yes,Yes,Yes,No,Yes,Yes,,No,SI-2 (Delay)
Springfield City SD,3904481,Mann Elementary School,390448101693,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Springfield City SD,3904481,North High School,390448101701,No,Yes,Yes,No,Yes,,Yes,No,SI-2 (Delay)
Springfield City SD,3904481,Perrin Woods Elementary School,390448101696,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Springfield City SD,3904481,Roosevelt Middle School,390448101697,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Springfield City SD,3904481,Schaefer Middle School,390448101698,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Springfield City SD,3904481,Snyder Park Elementary School,390448101700,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Springfield City SD,3904481,South High School,390448101702,No,No,Yes,Yes,Yes,,Yes,No,R-P
Springfield City SD,3904481,Warder Park-Wayne Elementary School,390448101703,Yes,Yes,Yes,No,Yes,Yes,,No,SI-2
Springfield Local SD,3904822,Springfield High School,390482203154,No,Yes,Yes,Yes,No,,Yes,No,SI-2
Springfield Local SD,3904822,Springfield Middle School,390482203155,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Springfield Local SD,3905006,Schrop Elementary School,390500603825,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Springfield Local SD,3905006,Spring Hill Junior High School,390500603826,No,No,Yes,No,Yes,Yes,,No,SI-2
Springfield Local SD,3905006,Springfield High School,390500603827,No,No,Yes,Yes,Yes,,Yes,No,SI-1
Springfield Preparatory and Fitness Academy,3900551,Springfield Preparatory and Fitness Academy,390055105263,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Steubenville City SD,3904482,Harding Middle School,390448201707,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Stow-Munroe Falls City SD,3904483,Kimpton Middle School,390448301716,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Stow-Munroe Falls City SD,3904483,Lakeview Elementary School,390448304336,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Strongsville City SD,3904484,Albion Middle School,390448401721,No,No,Yes,No,Yes,Yes,,No,SI-1
Summit Academy Community School - Canton,3900071,Summit Academy Community School - Canton,390007103346,Yes,No,Yes,No,Yes,Yes,,No,CA
Summit Academy Community School - Dayton,3900493,Summit Academy Community School - Dayton,390049305203,Yes,No,No,No,No,No,,No,SI-1
Summit Academy Community School - Lorain,3900109,Summit Academy Community School - Lorain,390010904106,Yes,No,Yes,No,Yes,Yes,,No,CA
Summit Academy Community School - Middletown,3900096,Summit Academy Community School - Middletown,390009603913,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Summit Academy Community School - Toledo,3900499,Summit Academy Community School - Toledo,390049905209,Yes,No,Yes,No,No,No,,No,SI-1
Summit Academy Community School - Warren,3900500,Summit Academy Community School - Warren,390050005210,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Summit Academy Community School - Xenia,3900097,Summit Academy Community School - Xenia,390009704036,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Summit Academy Community School for Alternative Learners - Akron,3900038,Summit Academy Community School for Alternative Learners - Akron,390003802844,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Summit Academy Community School for Alternative Learners - Youngstown,3900108,Summit Academy Community School for Alternative Learners - Youngstown,390010804121,Yes,No,Yes,No,No,Yes,,No,R-P
Summit Academy Middle School - Akron,3900098,Summit Academy Middle School - Akron,390009804167,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Summit Academy Middle School - Lorain,3900338,Summit Academy Middle School - Lorain,390033804875,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Summit Academy Secondary School - Canton,3900495,Summit Academy Secondary School - Canton,390049505205,Yes,Not Rated,Not Rated,Not Rated,Not Rated,Yes,,Yes,SI-1 (Delay)
Summit Academy Secondary School - Lorain,3900496,Summit Academy Secondary School - Lorain,390049605206,Yes,Not Rated,Not Rated,Not Rated,Not Rated,No,,No,SI-2
Summit Academy Secondary School - Toledo,3900360,Summit Academy Secondary School - Toledo,390036004897,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Switzerland of Ohio Local SD,3904865,Powhatan Elementary School,390486503334,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Symmes Valley Local SD,3904796,Symmes Valley Elementary School,390479603058,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Talawanda City SD,3904615,Kramer Elementary School,390461502454,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Talawanda City SD,3904615,Talawanda Middle School,390461504370,No,No,Yes,Yes,Yes,Yes,,No,SI-1 (Delay)
Teays Valley Local SD,3904909,Teays Valley High School,390490903490,No,No,Yes,Yes,Yes,,Yes,No,SI-1
Teays Valley Local SD,3904909,Teays Valley Middle School,390490903491,No,Yes,Yes,No,Yes,Yes,,No,SI-1
Tecumseh Local SD,3904624,Tecumseh Middle School,390462402483,No,No,Yes,No,Yes,Yes,,No,SI-1
Three Rivers Local SD,3904739,Charles T. Young Elementary School,390473902886,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Toledo Academy of Learning,3900059,Toledo Academy of Learning,390005903131,Yes,No,Yes,No,Yes,Yes,,No,CA
Toledo City SD,3904490,Birmingham Elementary School,390449001772,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Toledo City SD,3904490,Bowsher High School,390449001773,No,No,Yes,No,Yes,,Yes,No,CA
Toledo City SD,3904490,Byrnedale Junior High School,390449001775,No,No,Yes,No,Yes,Yes,,No,R-P
Toledo City SD,3904490,Chase Elementary School,390449001776,Yes,No,Yes,No,Yes,Yes,,No,R-I
Toledo City SD,3904490,DeVeaux Junior High School,390449001780,No,No,Yes,No,Yes,Yes,,No,CA
Toledo City SD,3904490,East Broadway Middle School,390449001783,Yes,No,No,No,Yes,No,,No,CA
Toledo City SD,3904490,East Side Central Elementary School,390449001782,Yes,No,Yes,No,Yes,No,,No,SI-1
Toledo City SD,3904490,Edgewater Elementary School,390449001784,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Toledo City SD,3904490,Fulton Elementary School,390449001788,Yes,No,Yes,No,Yes,Yes,,No,R-I
Toledo City SD,3904490,Garfield Elementary School,390449001789,Yes,No,Yes,No,Yes,Yes,,No,R-P
Toledo City SD,3904490,Glendale-Feilbach Elementary School,390449001791,No,No,Yes,No,Yes,Yes,,No,CA
Toledo City SD,3904490,Hale Elementary School,390449001794,Yes,No,Yes,No,Yes,Yes,,No,R-P
Toledo City SD,3904490,Hawkins Elementary School,390449001797,No,No,Yes,No,Yes,Yes,,No,SI-1
Toledo City SD,3904490,Jones at Gunckel Park Middle School,390449001800,Yes,No,No,No,No,No,,No,R-P
Toledo City SD,3904490,Keyser Elementary School,390449001801,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Toledo City SD,3904490,Lagrange Elementary School,390449001804,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Toledo City SD,3904490,Larchmont Elementary School,390449001805,No,No,Yes,No,Yes,Yes,,No,SI-1
Toledo City SD,3904490,Leverette Junior High School,390449001795,Yes,No,Yes,No,Yes,No,,No,R-P
Toledo City SD,3904490,Libbey High School,390449001806,No,Yes,Yes,No,Yes,,Yes,No,CA
Toledo City SD,3904490,Lincoln Academy for Boys Elementary School,390449005291,Yes,No,Yes,No,Yes,Yes,,No,CA
Toledo City SD,3904490,Longfellow Elementary School,390449001808,No,No,Yes,No,Yes,Yes,,No,SI-1
Toledo City SD,3904490,Marshall Elementary School,390449001810,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Toledo City SD,3904490,McKinley Elementary School,390449001813,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
Toledo City SD,3904490,McTigue Middle School,390449001814,No,No,Yes,No,Yes,No,,No,R-P
Toledo City SD,3904490,Navarre Elementary School,390449001816,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Toledo City SD,3904490,Newbury Elementary School,390449001817,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Toledo City SD,3904490,Oakdale Elementary School,390449001818,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Toledo City SD,3904490,Old Orchard Elementary School,390449001819,No,No,Yes,No,Yes,Yes,,No,SI-2
Toledo City SD,3904490,Pickett Elementary School,390449001823,Yes,No,Yes,No,Yes,Yes,,No,R-I
Toledo City SD,3904490,Raymer Elementary School,390449001825,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Toledo City SD,3904490,Reynolds Elementary School,390449001826,Yes,No,Yes,No,Yes,Yes,,No,CA
Toledo City SD,3904490,Riverside Elementary School,390449001827,Yes,No,Yes,No,Yes,Yes,,No,R-P
Toledo City SD,3904490,Robinson Middle School,390449001828,Yes,No,No,No,No,No,,No,R-P
Toledo City SD,3904490,Rogers High School,390449001829,No,Yes,Yes,No,Yes,,Yes,No,R-P
Toledo City SD,3904490,Rosa Parks Elementary School,390449001777,Yes,No,Yes,No,Yes,No,,No,R-P
Toledo City SD,3904490,Scott High School,390449001831,No,Yes,No,No,No,,Yes,No,R-P
Toledo City SD,3904490,Sherman Elementary School,390449001832,Yes,No,Yes,No,Yes,No,,No,SI-1
Toledo City SD,3904490,Start High School,390449001835,No,No,Yes,Yes,Yes,,Yes,No,CA
Toledo City SD,3904490,Walbridge Elementary School,390449001839,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Toledo City SD,3904490,Washington Elementary School,390449001335,No,No,No,No,No,Yes,,No,R-I
Toledo City SD,3904490,Whittier Elementary School,390449001843,No,No,Yes,No,Yes,Yes,,No,SI-1
Toledo City SD,3904490,Woodward High School,390449001844,No,No,No,No,No,,Yes,No,R-P
Toledo Preparatory Academy,3900218,Toledo Preparatory Academy,390021804742,Yes,Yes,Yes,No,Yes,,Yes,No,CA
Toronto City SD,3904491,S.C. Dennis Elementary School,390449101848,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Treca Digital Academy,3900118,Treca Digital Academy,390011804148,Yes,No,Yes,No,Yes,,Yes,No,R-P
Triad Local SD,3904620,Triad Middle School,390462004585,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Trimble Local SD,3904592,Trimble Elementary School,390459202385,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Trimble Local SD,3904592,Trimble Middle School,390459202386,No,No,Yes,No,Yes,Yes,,No,R-P
Tri-Valley Local SD,3904887,Frazeyburg Intermediate Elementary School,390488701429,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Trotwood Fitness and Preparatory Academy,3900193,Trotwood Fitness and Preparatory Academy,390019304717,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Trotwood-Madison City SD,3904869,Broadmoor Elementary School,390486903348,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Trotwood-Madison City SD,3904869,Shilohview Elementary School,390486903351,Yes,No,Yes,Yes,Yes,Yes,,No,CA
Trotwood-Madison City SD,3904869,Townview Elementary School,390486903352,Yes,No,Yes,Yes,Yes,No,,No,SI-2
Trotwood-Madison City SD,3904869,Trotwood-Madison Middle School,390486903354,No,No,No,No,Yes,Yes,,No,CA
Trotwood-Madison City SD,3904869,Westbrooke Village Elementary School,390486903355,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Troy City SD,3904492,Troy Junior High School,390449201857,No,No,Yes,No,Yes,Yes,,No,SI-1
Tuscarawas Valley Local SD,3905030,Tuscarawas Valley Middle School,390503000724,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Tuscarawas Valley Local SD,3905030,Tuscarawas Valley Primary Elementary School,390503003906,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Tuslaw Local SD,3904995,Beech Grove Elementary School,390499503777,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Tuslaw Local SD,3904995,Tuslaw Middle School,390499503772,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Union Local SD,3904601,Union Local Elementary School,390460101399,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Union Local SD,3904601,Union Local Middle School,390460101380,No,No,Yes,Yes,Yes,Yes,,No,SI-1
United Local SD,3904645,United Elementary School,390464502561,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Upper Scioto Valley Local SD,3904752,Upper Scioto Valley Elementary School,390475202912,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Upper Scioto Valley Local SD,3904752,Upper Scioto Valley Middle School,390475202911,No,No,Yes,No,Yes,Yes,,No,SI-1
"Urban Youth Academy, Inc.",3900384,"Urban Youth Academy, Inc.",390038404921,Yes,No,No,No,No,,No,No,SI-1
Urbana City SD,3904494,East Elementary School,390449401869,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Urbana City SD,3904494,North Elementary School,390449401871,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Urbana City SD,3904494,South Elementary School,390449401872,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Urbana City SD,3904494,Urbana Junior High School,390449401873,No,No,Yes,No,Yes,Yes,,No,SI-1
V L T Academy,3900479,V L T Academy,390047905038,Yes,No,Yes,No,No,Yes,,No,SI-1
