Titel,Orginaltitel,År,Regissör,Ditt betyg,Datum,IMDB#
Ordinary Decent Criminal,Ordinary Decent Criminal,2000,Thaddeus O\'Sullivan,,,160611
"Hör upp, blindstyre!","See No Evil, Hear No Evil",1989,Arthur Hiller,,,98282
Stockholmsnatt,Stockholmsnatt,1986,Staffan Hildebrand,,,92015
Mumien - Återkomsten,The Mummy Returns,2001,Stephen Sommers,,,209163
Bert - den siste oskulden,Bert - den siste oskulden,1995,Tomas Alfredson,,,112480
Huset som Gud glömde,The Amityville Horror,1979,Stuart Rosenberg,,,78767
Ondskans hus,House on Haunted Hill,1999,William Malone,,,185371
Memento,Memento,2000,Christopher Nolan,,,209144
Octagon,The Octagon,1980,Eric Karson,,,81259
Tic Tac,Tic Tac,1997,Daniel Alfredson,,,120329
Space Jam,Space Jam,1996,Joe Pytka,,,117705
Dagon,Dagon,2001,Stuart Gordon,,,264508
Bermudatriangeln,The Triangle,2001,Lewis Teague,,,271237
Big,Big,1988,Penny Marshall,,,94737
"Mystery, Alaska","Mystery, Alaska",1999,Jay Roach,,,134618
Fogsvansen,Fukssvansen,2001,Niels Arden Oplev,,,289195
Black River,Black River,2001,Jeff Bleckner,,,280241
Metro,Metro,1997,Thomas Carter,,,119664
Mitt stora feta grekiska bröllop,My Big Fat Greek Wedding,2002,Joel Zwick,,,259446
Black Sheep,Black Sheep,1996,Penelope Spheeris,,,115697
Livvakterna,Livvakterna,2001,Anders Nilsson,,,220623
The Beyond,E tu vivrai nel terrore - L'aldilà,1981,Lucio Fulci,,,82307
Svarta änglar,Heavenly Creatures,1994,Peter Jackson,,,110005
Resurrection,Resurrection,1999,Russell Mulcahy,,,142804
Länge Leve Bernie 2,Weekend at Bernie's II,1993,Robert Klane,,,108539
Anatomi,Anatomie,2000,Stefan Ruzowitzky,,,187696
Två pappor för mycket,Fathers' Day,1997,Ivan Reitman,,,119109
"Corrina, Corrina","Corrina, Corrina",1994,Jessie Nelson,,,109484
The Ring,Ringu,1998,Hideo Nakata,,,178868
Eight Legged Freaks - Jättespindlarna anfaller,Eight Legged Freaks,2002,Ellory Elkayem,,,271367
Tjejligan,A League of Their Own,1992,Penny Marshall,,,104694
Frankenstein,Frankenstein,1994,Kenneth Branagh,,,109836
The Frighteners,The Frighteners,1996,Peter Jackson,,,116365
Homeros Odysséen,The Odyssey,1997,Andrej Konchalovskij,,,118414
Min bäste väns bröllop,My Best Friend's Wedding,1997,P J Hogan,,,119738
Hamlet,Hamlet,1996,Kenneth Branagh,,,116477
Faculty,The Faculty,1998,Robert Rodriguez,,,133751
Asterix - Gallernas hjälte,Astérix et la surprise de César,1985,"Gaëtan Brizzi, Paul Brizzi",,,88748
Sleepers,Sleepers,1996,Barry Levinson,,,117665
F/X - Dödlig effekt,F/X,1986,Robert Mandel,,,89118
Jakob the Liar ,Jakob the Liar ,1999,Peter Kassovitz,,,120716
Frankenthumb,Frankenthumb,2002,David Bourla,,,342443
St. Elmo's Fire,St. Elmo's Fire,1985,Joel Schumacher,,,90060
"Greystoke: Legenden om Tarzan, apornas konung","Greystoke: The Legend of Tarzan, Lord of the Apes",1984,Hugh Hudson,,,87365
Inre kretsen,The In Crowd,2000,Mary Lambert,,,163676
Phantoms,Phantoms,1998,Joe Chappelle,,,119891
Donnie Darko,Donnie Darko,2001,Richard Kelly,,,246578
Sleepless,Non ho sonno,2001,Dario Argento,,,220827
Kurt Olsson - filmen om mitt liv som mej själv,Kurt Olsson - filmen om mitt liv som mej själv,1990,Håkan Wennberg,,,99959
Deadly Terror,Ghost in the Machine ,1993,Rachel Talalay,,,107009
Häxjakten,The Crucible,1996,Nicholas Hytner,,,115988
Sahara,Sahara,1995,Brian Trenchard-Smith,,,114324
Screamers,Screamers,1995,Christian Duguay,,,114367
Gömstället,Hideaway,1995,Brett Leonard,,,113303
Silver Bullet,Silver Bullet,1985,Daniel Attias,,,90021
Dubbelgångaren,Doppelganger,1993,Avi Nesher,,,106753
Dimman,The Fog ,1980,John Carpenter,,,80749
The Mission,The Mission,1986,Roland Joffé,,,91530
Love Walked In,Love Walked In,1998,Juan José Campanella,,,118727
The Guilty,The Guilty,2000,Anthony Waller,,,186183
Strangeland,Strangeland,1998,John Pieplow,,,124102
Spankworld - The Movie,Preaching To The Perverted,1997,Stuart Urban,,,119935
Änglagård - andra sommaren,Änglagård - andra sommaren,1994,Colin Nutley,,,111862
Den vilda jakten på juvelen,Jewel of the Nile,1985,Lewis Teague,,,89370
Yrrol,Yrrol,1994,Peter Dalle,,,111807
Snyltgästen,Housesitter,1992,Frank Oz,,,104452
Shanghai Noon,Shanghai Noon,2000,Tom Dey,,,184894
Sanningens ögonblick  Karate Kid,The Karate Kid,1984,John G Avildsen,,,87538
Länge leve Bernie,Weekend at Bernie's,1989,Ted Kotcheff,,,98627
Larry Flynt - skandalernas man,The People vs. Larry Flynt,1996,Milos Forman,,,117318
Korpens Skugga,Í skugga hrafnsins,1988,Hrafn Gunnlaugsson,,,95346
Den enfaldige mördaren,Den enfaldige mördaren,1982,Hans Alfredson,,,83888
Den unge giftmördarens handbok,The Young Poisoner's Handbook,1995,Benjamin Ross,,,115033
Ben och Gunnar - En liten film om manlig vänskap,Ben och Gunnar - En liten film om manlig vänskap,1999,Tomas Alfredson,,,1292598
Monty Pythons galna värld,Monty Python and the Holy Grail ,1975,"Terry Jones, Terry Gilliam",,,71853
The Majestic,The Majestic,2001,Frank Darabont,,,268995
Bound,Bound,1996,"Andy Wachowski, Lana Wachowski",,,115736
De dimhöljda bergens gorillor,Gorillas in the Mist,1988,Michael Apted,,,95243
Super Mario Bros.,Super Mario Bros.,1993,"Annabel Jankel, Rocky Morton",,,108255
Livet är en schlager,Livet är en schlager,2000,Susanne Bier,,,265232
Dr. Dolittle,Doctor Dolittle,1998,Betty Thomas,,,118998
54,54,1998,Mark Christopher,,,120577
Änglarnas stad,City of Angels,1998,Brad Silberling,,,120632
Bad Moon,Bad Moon,1996,Eric Red,,,115610
Skulden,Chains of Gold,1991,Rob Holcomb,,,101560
Simon Sez,Simon Sez,1999,Kevin Elders,,,168172
Beautiful Girls,Beautiful Girls,1996,Ted Demme,,,115639
The Fan,The Fan,1996,Tony Scott,,,116277
Notting Hill,Notting Hill,1999,Roger Michell,,,125439
Skräcknatten,Fright Night,1985,Tom Holland (I),,,89175
Casino,Casino,1995,Martin Scorsese,,,112641
Livet på landet,Funny Farm,1988,George Roy Hill,,,95188
A Beautiful Mind,A Beautiful Mind,2001,Ron Howard,,,268978
Final Destination,Final Destination,2000,James Wong,,,195714
The Secret Sense,Stir of Echoes,1999,David Koepp,,,164181
Midnight Express,Midnight Express,1978,Alan Parker,,,77928
Langoljärerna,The Langoliers,1995,Tom Holland (I),,,112040
Cape Fear,Cape Fear,1991,Martin Scorsese,,,101540
Soldier Blue,Soldier Blue,1970,Ralph Nelson,,,66390
Föräldrafritt,Risky Business,1983,Paul Brickman,,,86200
En bro för mycket,A Bridge Too Far ,1977,Richard Attenborough,,,75784
Dune,Dune,1984,David Lynch,,,87182
Demon Knight,Tales from the Crypt: Demon Knight,1995,"Gilbert Adler, Ernest R Dickerson",,,114608
Candyman,Candyman,1992,Bernard Rose,,,103919
Breakdown,Breakdown,1997,Jonathan Mostow,,,118771
Warlock,Warlock,1989,Steve Miner,,,98622
Ondskans barn,Village of the Damned,1995,John Carpenter,,,114852
Tron,TRON,1982,Steven Lisberger,,,84827
Space Truckers,Space Truckers,1997,Stuart Gordon,,,120199
Silverado,Silverado,1985,Lawrence Kasdan,,,90022
Scrooged - spökenas hämnd,Scrooged,1988,Richard Donner,,,96061
Och han älskade dem alla,Kiss the Girls,1997,Gary Fleder,,,119468
Mångalen,Moonstruck,1987,Norman Jewison,,,93565
Jeepers Creepers,Jeepers Creepers,2001,Victor Salva,,,263488
Dobermann,Dobermann,1997,Jan Kounen,,,118996
Det våras för galningarna,High Anxiety,1977,Mel Brooks,,,76141
De tre musketörerna,The Three Musketeers,1993,Stephen Herek,,,108333
Cocoon - Återkomsten,Cocoon: The Return,1988,Daniel Petrie,,,94890
Baron Münchhausens äventyr,The Adventures of Baron Munchausen,1988,Terry Gilliam,,,96764
Knights,Knights,1993,Albert Pyun,,,107333
Flugornas herre,Lord of the Flies,1990,Harry Hook,,,100054
Critters,Critters,1986,Stephen Herek,,,90887
Brandbilen som försvann,Brandbilen som försvann,1993,Hajo Gies,,,106476
Tom i bollen,Caddyshack,1980,Harold Ramis,,,80487
The Commitments,The Commitments,1991,Alan Parker,,,101605
Mystery Men,Mystery Men,1999,Kinka Usher,,,132347
På heder och samvete,A Few Good Men,1992,Rob Reiner,,,104257
Nowhere to Run,Nowhere to Run,1993,Robert Harmon,,,107711
Kalifornia,Kalifornia,1993,Dominic Sena,,,107302
Hämnarna,The Avengers,1998,Jeremiah S Chechik,,,118661
Det kan hända dig,It Could Happen to You,1994,Andrew Bergman,,,110167
Young Guns 2,Young Guns 2,1990,Geoff Murphy,,,100994
Wayne's World,Wayne's World,1992,Penelope Spheeris,,,105793
Tango & Cash,Tango & Cash,1989,"Andrej Konchalovskij, Albert Magnoli",,,98439
Skicka vidare,Pay It Forward,2000,Mimi Leder,,,223897
Sista natten med gänget,American Graffiti,1973,George Lucas,,,69704
På farlig mark,On Deadly Ground,1994,Steven Seagal,,,110725
Passagerare 57,Passenger 57,1992,Kevin Hooks,,,105104
Mission: Impossible,Mission: Impossible,1996,Brian De Palma,,,117060
Mannen med oxpiskan,High Plains Drifter,1973,Clint Eastwood,,,68699
Hur som helst är han jävligt död,Hur som helst är han jävligt död,2000,Kjell Sundvall,,,223490
Hajen 2,Jaws 2,1978,Jeannot Szwarc,,,77766
"Good Morning, Vietnam","Good Morning, Vietnam",1987,Barry Levinson,,,93105
Blodröd sol,Rising Sun,1993,Philip Kaufman,,,107969
48 timmar igen,Another 48 Hrs,1990,Walter Hill,,,99044
187,One Eight Seven,1997,Kevin Reynolds,,,118531
Zoolander,Zoolander,2001,Ben Stiller,,,196229
WarGames,WarGames,1983,John Badham,,,86567
Vertical Limit,Vertical Limit,2000,Martin Campbell,,,190865
U-571,U-571,2000,Jonathan Mostow,,,141926
Species,Species,1995,Roger Donaldson,,,114508
Rocky III,Rocky III,1982,Sylvester Stallone,,,84602
Pale Rider,Pale Rider,1985,Clint Eastwood,,,89767
I skottlinjen,In the Line of Fire,1993,Wolfgang Petersen,,,107206
Farliga sinnen,Dangerous Minds,1995,John N Smith,,,112792
Evolution,Evolution,2001,Ivan Reitman,,,251075
Cop Land,Cop Land,1997,James Mangold,,,118887
Vad kvinnor vill ha,What Women Want,2000,Nancy Meyers,,,207201
Släkten är värst,Meet the Parents,2000,Jay Roach,,,212338
Mad Max,Mad Max,1979,George Miller (II),,,79501
Beck - Mannen med ikonerna,Beck - Mannen med ikonerna,1997,Pelle Seth,,,139058
Beck - Spår i mörker,Beck - Spår i mörker,1998,Morten Arnfred,,,122394
Beck - Monstret,Beck - Monstret,1998,Harald Hamrell,,,155535
Beck - Enslingen,Beck - Enslingen,2001,Kjell Sundvall,,,303726
Animal,The Animal,2001,Luke Greenfield,,,255798
Alla helgons blodiga natt H20 - 20 år senare,Halloween H20: 20 Years Later,1998,Steve Miner,,,120694
"Ursäkta, vad är klockan?",Clockwise,1986,Christopher Morahan,,,90852
Lotta 2 - Lotta flyttar hemifrån,Lotta 2 - Lotta flyttar hemifrån,1993,Johanna Hald,,,107444
Medan du sov,While You Were Sleeping,1995,Jon Turteltaub,,,114924
Mimic,Mimic,1997,Guillermo del Toro,,,119675
Polisskolan 2 - Första uppdraget,Police Academy 2: Their First Assignment,1985,Jerry Paris,,,89822
Det,It,1990,Tommy Lee Wallace,,,99864
Spirit - Husets hemlighet,Spirit,2001,Michael Slovis,,,292698
Dummy,Dummy,2002,Greg Pritikin,,,246592
She's All That,She's All That,1999,Robert Iscove,,,160862
Windwalker - Indiankrigaren,Windwalker,1980,Kieth Merrill,,,81760
Powder,Powder,1995,Victor Salva,,,114168
(Sökarna),(Sökarna),1993,"Peter Cartriers, Daniel Fridell",,,108275
Stålmannen i kamp för freden,Superman IV: The Quest for Peace,1987,Sidney J Furie,,,94074
Poltergeist II - den andra sidan,Poltergeist II: The Other Side,1986,Brian Gibson,,,91778
När skinkorna tystnar,Il Silenzio dei prosciutti,1994,Ezio Greggio,,,111190
Major Payne,Major Payne,1995,Nick Castle,,,110443
Kapten trubbel,Captain Ron,1992,Thom Eberhardt,,,103924
From Dusk Till Dawn 2,From Dusk Till Dawn 2: Texas Blood Money,1999,Scott Spiegel,,,120860
Flugan II,The Fly II,1989,Chris Walas,,,97368
Birdcage - lånta fjädrar,The Birdcage,1996,Mike Nichols,,,115685
Besatt,Repossessed,1990,Bob Logan,,,100475
Wyatt Earp,Wyatt Earp,1994,Lawrence Kasdan,,,111756
Panik,The Blob,1988,Chuck Russell,,,94761
Sova med fienden,Sleeping With the Enemy,1990,Joseph Ruben,,,102945
Savannens härskare,The Ghost and the Darkness,1996,Stephen Hopkins,,,116409
Rött hav,Crimson Tide,1995,Tony Scott,,,112740
Rocketeer,The Rocketeer,1991,Joe Johnston,,,102803
Philadelphia,Philadelphia,1993,Jonathan Demme,,,107818
Maverick,Maverick,1994,Richard Donner,,,110478
Ladyhawke,Ladyhawke,1985,Richard Donner,,,89457
Judgment Night,Judgment Night,1993,Stephen Hopkins,,,107286
Häxorna i Eastwick,The Witches of Eastwick,1987,George Miller (II),,,94332
Sagan om ringen,Lord of the Rings,1978,Ralph Bakshi,,,77869
Alien 3,Alien 3,1992,David Fincher,,,103644
True Romance,True Romance,1993,Tony Scott,,,108399
Superman the Movie,Superman,1978,Richard Donner,,,78346
Rosens namn,Der Name der Rose,1986,Jean-Jacques Annaud,,,91605
Man on the Moon,Man on the Moon,1999,Milos Forman,,,125664
Lida,Misery,1990,Rob Reiner,,,100157
Kapten Gulskägg - havets fasa,Yellowbeard,1983,Mel Damski,,,86618
Emil i Lönneberga,Emil i Lönneberga,1971,Olle Hellbom,,,67047
Emil och griseknoen,Emil och griseknoen,1973,Olle Hellbom,,,72931
48 timmar,48 Hrs,1982,Walter Hill,,,83511
Mississippi brinner,Mississippi Burning,1988,Alan Parker,,,95647
En djävul till flickvän,Saving Silverman,2001,Dennis Dugan,,,239948
Black Mask,Hak hap,1996,Daniel Lee,,,115693
6:e dagen,The 6th Day,2000,Roger Spottiswoode,,,216216
Star Wars: Episod I - Det mörka hotet,Star Wars: Episode I - The Phantom Menace,1999,George Lucas,,,120915
Waterworld,Waterworld,1995,"Kevin Reynolds, Kevin Costner",,,114898
Rocky II,Rocky II,1979,Sylvester Stallone,,,79817
Karate Kid II - Mästarprovet,"The Karate Kid, Part II",1986,John G Avildsen,,,91326
Född den fjärde juli,Born on the Fourth of July,1989,Oliver Stone,,,96969
White Men Can't Jump,White Men Can't Jump,1992,Ron Shelton,,,105812
Snuten i Hollywood 2,Beverly Hills Cop II,1987,Tony Scott,,,92644
Ett päron till farsa,Vacation,1983,Harold Ramis,,,85995
The Gift,The Gift,2000,Sam Raimi,,,219699
I samlarens spår,The Bone Collector,1999,Phillip Noyce,,,145681
Välkommen Mrs. Doubtfire,Mrs. Doubtfire,1993,Chris Columbus,,,107614
The Golden Child,The Golden Child,1986,Michael Ritchie,,,91129
Romeo Must Die,Romeo Must Die,2000,Andrzej Bartkowiak,,,165929
Jackie Brown,Jackie Brown,1997,Quentin Tarantino,,,119396
Robinson Crusoe,Robinson Crusoe,1996,"Rod Hardy, George Miller (I)",,,117496
Vägen ut,Vägen ut,1999,Daniel Lind Lagerlöf,,,177347
SOS - en segelsällskapsresa,SOS - en segelsällskapsresa,1988,Lasse Åberg,,,96022
Kattbreven,Kattbreven,2001,Christina Olofson,,,269433
The Talented Mr. Ripley,The Talented Mr. Ripley,1999,Anthony Minghella,,,134119
Stekta gröna tomater på Whistle Stop Café,Fried Green Tomatoes,1991,Jon Avnet,,,101921
Bröderna Lejonhjärta,Bröderna Lejonhjärta,1977,Olle Hellbom,,,75790
Äventyraren Thomas Crown,The Thomas Crown Affair,1999,John McTiernan,,,155267
Schakalen,The Jackal,1997,Michael Caton-Jones,,,119395
Mina jag & Irene,"Me, Myself & Irene",2000,"Bobby Farrelly, Peter Farrelly",,,183505
Jönssonligan på Mallorca,Jönssonligan på Mallorca,1989,Mikael Ekman,,,97636
Fucking Åmål,Fucking Åmål,1998,Lukas Moodysson,,,150662
En fiende ibland oss,The Devil's Own,1997,Alan J Pakula,,,118972
Den lilla sjöjungfrun,The Little Mermaid,1989,"Ron Clements, John Musker",,,97757
Dave,Dave,1993,Ivan Reitman,,,106673
"Tsatsiki, morsan och polisen","Tsatsiki, morsan och polisen",1999,Ella Lemhagen,,,171851
The Haunting,The Haunting,1999,Jan De Bont,,,171363
French Kiss,French Kiss,1995,Lawrence Kasdan,,,113117
"Dude, Where's My Car?","Dude, Where's My Car?",2000,Danny Leiner,,,242423
GoldenEye,GoldenEye,1995,Martin Campbell,,,113189
G.I. Jane,G.I. Jane,1997,Ridley Scott,,,119173
Air Force One,Air Force One,1997,Wolfgang Petersen,,,118571
The Crow: Salvation,The Crow: Salvation,2000,Bharat Nalluri,,,132910
Robin Hood - Prince of Thieves,Robin Hood - Prince of Thieves,1991,Kevin Reynolds,,,102798
Shadow builder ,Bram Stoker's Shadowbuilder,1998,Jamie Dixon,,,117611
Shadow,The Shadow,1994,Russell Mulcahy,,,111143
American Psycho 2,American Psycho 2,2002,Morgan J Freeman,,,283877
Rock Star,Rock Star,2001,Stephen Herek,,,202470
Barbarernas hämnd,Red Sonja,1985,Richard Fleischer,,,89893
Point Break,Point Break,1991,Kathryn Bigelow,,,102685
Ogifta par - en film som skiljer sig,Ogifta par - en film som skiljer sig,1997,Peter Dalle,,,119820
Mr. Nice Guy,Yatgo ho yan,1997,Sammo Hung Kam-Bo,,,117786
Men in Black II,Men in Black II,2002,Barry Sonnenfeld,,,120912
Mannen utan ansikte,The Man Without a Face,1993,Mel Gibson,,,107501
Lord of Illusions,Lord of Illusions,1995,Clive Barker,,,113690
Leprechaun,Leprechaun,1993,Mark Jones (I),,,107387
Kull - erövraren,Kull the Conqueror,1997,John Nicolella,,,119484
Jack,Jack,1996,Francis Ford Coppola,,,116669
Hälsoresan,Hälsoresan,1999,Lasse Åberg,,,166653
Helgonet,The Saint,1997,Phillip Noyce,,,120053
Hard Target,Hard Target,1993,John Woo,,,107076
Grinchen - julen är stulen,How the Grinch Stole Christmas,2000,Ron Howard,,,170016
Flykten från New York,Escape from New York,1981,John Carpenter,,,82340
First Strike,Jing cha gu shi IV: Jian dan ren wu,1996,Stanley Tong,,,116704
Ewoks: flykten från Endor,Ewoks: The Battle for Endor,1985,"Jim Wheat, Ken Wheat",,,89110
Eldfödd,Firestarter,1984,Mark L Lester,,,87262
Dykaren,Dykaren,2000,Erik Gustavson,,,198434
Dödligt vapen 4,Lethal Weapon 4,1998,Richard Donner,,,122151
Dolores Claiborne,Dolores Claiborne,1995,Taylor Hackford,,,109642
Die Hard 2,Die Hard 2,1990,Renny Harlin,,,99423
Den perfekta stormen,The Perfect Storm,2000,Wolfgang Petersen,,,177971
Dark Angel,I Come In Peace,1990,Craig R Baxley,,,99817
Critters 2,Critters 2: The Main Course ,1988,Mick Garris,,,94919
Coyote Ugly,Coyote Ugly,2000,David McNally,,,200550
Austin Powers - hemlig internationell agent,Austin Powers: International Man of Mystery,1997,Jay Roach,,,118655
Wishmaster 3,Wishmaster 3: Beyond the Gates of Hell ,2001,Chris Angel,,,254871
Wishmaster 2,Wishmaster 2: Evil never dies,1999,Jack Sholder,,,156182
Valentine,Valentine,2001,Jamie Blanks,,,242998
The Crow - City of Angels,The Crow - City of Angels,1996,Tim Pope,,,115986
Species 2,Species II,1998,Peter Medak,,,120841
Skulls,The Skulls,2000,Rob Cohen,,,192614
Scary Video,Shriek If You Know What I Did Last Friday The 13th,2000,John Blanchard,,,212235
Scary Movie 2,Scary Movie 2,2001,Keenen Ivory Wayans,,,257106
Scary Movie,Scary Movie,2000,Keenen Ivory Wayans,,,175142
Not Another Teen Movie,Not Another Teen Movie,2001,Joel Gallen,,,277371
Naken,Naken,2000,"Torkel Knutsson, Mårten Knutsson",,,269604
Lara Croft - Tomb Raider,Tomb Raider,2001,Simon West,,,146316
Jurtjyrkogården 2,Pet Sematary II,1992,Mary Lambert,,,105128
Johnny Mnemonic,Johnny Mnemonic,1994,Robert Longo,,,113481
Joe Jättegorillan,Mighty Joe Young ,1998,Ron Underwood,,,120751
Ghost in the Shell,Kôkaku kidôtai,1995,Mamoru Oshii,,,113568
Fritt fall,Terminal Velocity,1994,Deran Sarafian,,,111400
Vargarnas pakt,Le Pacte des loups,2001,Christophe Gans,,,237534
Unbreakable,Unbreakable,2000,M Night Shyamalan,,,217869
Thelma & Louise,Thelma & Louise,1991,Ridley Scott,,,103074
The Thing,The Thing,1982,John Carpenter,,,84787
Shadow of the Vampire,Shadow of the Vampire,2000,E Elias Merhige,,,189998
Rovdjuret,Predator,1987,John McTiernan,,,93773
Ravenous,Ravenous,1999,Antonia Bird,,,129332
Pestens tid,The Stand,1994,Mick Garris,,,108941
Närkontakt av tredje graden,Close Encounters of the Third Kind,1977,Steven Spielberg,,,75860
Mad Max 2: The Road Warrior,Mad Max 2: The Road Warrior,1981,George Miller (II),,,82694
Kejsarens nya stil,The Emperor's New Groove,2000,Mark Dindal,,,120917
Järnjätten,The Iron Giant,1999,Brad Bird,,,129167
Eldstorm,Backdraft,1991,Ron Howard,,,101393
Döda poeters sällskap,Dead Poets Society,1989,Peter Weir,,,97165
Batman,Batman,1989,Tim Burton,,,96895
Apornas planet,Planet of the Apes,1968,Franklin J Schaffner,,,63442
A Perfect World,A Perfect World,1993,Clint Eastwood,,,107808
Kådisbellan,Kådisbellan,1993,Åke Sandgren,,,107349
Älska till döds,Body of Evidence,1993,Uli Edel,,,106453
Wedlock,Wedlock,1991,Lewis Teague,,,103239
Wayne's World 2,Wayne's World 2,1993,Stephen Surjik,,,108525
Vampires,Vampires,1998,John Carpenter,,,120877
Twin Peaks: Fire Walk with Me,Twin Peaks: Fire Walk with Me,1992,David Lynch,,,105665
Top Secret!,Top Secret!,1984,"Jim Abrahams, David Zucker, Jerry Zucker",,,88286
Sömngångare,Sleepwalkers,1992,Mick Garris,,,105428
Superman II,Superman II ,1980,Richard Lester,,,81573
Soldier,Soldier,1998,Paul W S Anderson,,,120157
Snabbare än döden,The Quick and the Dead,1995,Sam Raimi,,,114214
Satan's School for Girls,Satan's School for Girls,2000,Christopher Leitch,,,203088
Rush Hour,Rush Hour,1998,Brett Ratner,,,120812
Den rosa pantern,The Pink Panther,1963,Blake Edwards,,,57413
Prickskytten,Quigley Down Under,1990,Simon Wincer,,,102744
Omen III - De sju knivarna,Omen III - The Final Conflict,1981,Graham Baker,,,82377
Nell,Nell,1994,Michael Apted,,,110638
Michael,Michael,1996,Nora Ephron,,,117038
Merlin,Merlin,1998,Steve Barron,,,130414
Medicinmannen,Medicine Man,1992,John McTiernan,,,104839
Mad Max bortom Thunderdome,Mad Max Beyond Thunderdome,1985,"George Miller (II), George Ogilvie",,,89530
Laddat vapen 1,Loaded Weapon 1,1993,Gene Quintano,,,107659
Kung Salomos sk(r)att,King Solomon's Mines,1985,J Lee Thompson,,,89421
Knackarna,The  Tommyknockers ,1993,John Power,,,106156
Inspector Gadget,Inspector Gadget,1999,David Kellogg,,,141369
Holy Man,Holy Man,1998,Stephen Herek,,,120701
Ha ett underbart liv,Ha ett underbart liv,1992,Ulf Malmros,,,104382
Gräsklipparmannen,The Lawnmower Man,1991,Brett Leonard,,,104692
Ghostbusters II,Ghostbusters II,1989,Ivan Reitman,,,97428
För några få dollar mer,Per qualche dollaro in più,1965,Sergio Leone,,,59578
Farväl Las Vegas,Leaving Las Vegas,1995,Mike Figgis,,,113627
Ensam hemma 3,Home Alone 3,1997,Raja Gosnell,,,119303
En på miljonen,En på miljonen,1995,"Måns Herngren, Hannes Holm",,,112955
E.T.: The Extra-Terrestrial,E.T.: The Extra-Terrestrial,1982,Steven Spielberg,,,83866
Don Juan DeMarco,Don Juan DeMarco,1995,Jeremy Leven,,,112883
Den vilda jakten på stenen,Romancing the Stone,1984,Robert Zemeckis,,,88011
Den osynlige mannen,Memoirs of An Invisible Man,1992,John Carpenter,,,104850
Daylight,Daylight,1996,Rob Cohen,,,116040
Cool Runnings,Cool Runnings,1993,Jon Turteltaub,,,106611
Jakten på Curlys guld,City Slickers II: The Legend of Curly's Gold,1994,Paul Weiland,,,109439
City Slickers - jakten på det försvunna leendet,City Slickers,1991,Ron Underwood,,,101587
Casper,Casper,1995,Brad Silberling,,,112642
Brewsters miljoner,Brewster's Millions,1985,Walter Hill,,,88850
Blind Side,Blind Side,1993,Geoff Murphy,,,106426
Besökarna,Besökarna,1988,Jack Ersgard,,,94730
Billy Madison,Billy Madison,1995,Tamra Davis,,,112508
Batman - återkomsten,Batman Returns,1992,Tim Burton,,,103776
Bad Girls,Bad Girls,1994,Jonathan Kaplan,,,109198
Under belägring 2,Under Siege 2,1995,Geoff Murphy,,,114781
The Running Man,The Running Man,1987,Paul Michael Glaser,,,93894
Solo,Solo,1996,Norberto Barba,,,117688
Sliver,Sliver,1993,Phillip Noyce,,,108162
Rädda Willy II,Free Willy 2: The Adventure Home,1995,Dwight H Little,,,113114
Rocky V,Rocky V,1990,John G Avildsen,,,100507
Rocky IV,Rocky IV,1985,Sylvester Stallone,,,89927
Min fru är en utomjording,My Stepmother is an Alien,1988,Richard Benjamin,,,95687
Made of Steel,Beyond the Law,1993,Larry Ferguson,,,103805
Karate Kid - Mästarens nya elev,The Next Karate Kid,1994,Christopher Cain,,,110657
Karate Kid III - Man mot man,The Karate Kid III,1989,John G Avildsen,,,97647
Hot Shots! 2,Hot Shots! Part Deux,1993,Jim Abrahams,,,107144
Hot Shots! Höjdarna!,Hot Shots!,1991,Jim Abrahams,,,102059
Gudarna måste vara tokiga II,The Gods Must be Crazy II,1988,Jamie Uys,,,97443
Gremlins 2 - Det nya gänget,Gremlins 2: The New Batch,1990,Joe Dante,,,99700
Flubber,Flubber,1997,Les Mayfield,,,119137
Ensam hemma 2: Vilse i New York,Home Alone 2: Lost in New York,1992,Chris Columbus,,,104431
Ensam hemma,Home Alone,1990,Chris Columbus,,,99785
Den oändliga historien 2,The NeverEnding Story II: The Next Chapter,1990,George Miller (I),,,100240
Darkman,Darkman,1990,Sam Raimi,,,99365
Cobra,Cobra,1986,George P Cosmatos,,,90859
Blixt Gordon,Flash Gordon,1980,Mike Hodges,,,80745
Bio-Dome,Bio-Dome,1996,Jason Bloom,,,115683
30:e november,30:e november,1995,Daniel Fridell,,,112258
The Big Hit,The Big Hit,1998,Kirk Wong,,,120609
Vuxna människor,Vuxna människor,1999,"Felix Herngren, Fredrik Lindström",,,183992
Trettonde våningen,The Thirteenth Floor,1999,Josef Rusnak,,,139809
Tombstone,Tombstone,1993,George P Cosmatos,,,108358
Stigmata,Stigmata,1999,Rupert Wainwright,,,145531
Rumble in the Bronx,Hung faan aau,1995,Stanley Tong,,,113326
Road Trip,Road Trip,2000,Todd Phillips,,,215129
Poltergeist,Poltergeist,1982,Tobe Hooper,,,84516
Men of Honor,Men of Honor,2000,George Tillman Jr,,,203019
För en handfull dollar,Per un pugno di dollari,1964,Sergio Leone,,,58461
Donnie Brasco,Donnie Brasco,1997,Mike Newell,,,119008
Erik Viking,Erik the Viking,1989,Terry Jones,,,97289
Enemy of the State,Enemy of the State,1998,Tony Scott,,,120660
Empire Records,Empire Records,1995,Allan Moyle,,,112950
Detroit Rock City ,Detroit Rock City ,1999,Adam Rifkin,,,165710
De omutbara,The Untouchables,1987,Brian De Palma,,,94226
