RSH - RadioShack Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,	,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Shiller PE Ratio,58.13,38.09,28.26,16.05,23.07,19.69,12.05,11.04,9.83,7.12,11.82,11.95,6.77,1.93,27.49,22.8,		,0,0,71.43,58.13,56.5,49.94,64.89,38.09,32.76,27.22,21.85,28.26,27.35,27.15,18.06,16.05,18.27,20.99,22.03,23.07,23.92,19.08,18.15,19.69,14.4,13.54,13.71,12.05,11.2,8.39,12.28,11.04,17.39,20.75,12.84,9.83,9.37,6.96,9.72,7.12,5.08,8.14,9.75,11.82,13.71,11.91,13.19,11.95,9.5,8.47,0,6.77,4.37,2.76,1.77,1.93,3.41,3.82,5.99,27.49
Market Cap,10083.54,7958.080440000001,5484.744000000001,3156.3781999999997,5034.8948,5210.493600000001,2831.0586000000003,2279.0596,2210.1774,1493.3357999999998,2441.985,1955.6872999999998,964.3972,211.1732,260.78000000000003,216.749,		,6184.85288,9473.93,10408.877752,10283.194092,9483.6525,8798.485,12012.494999999999,7958.080440000001,6772.2402,5584.245,4346.570000000001,5484.744000000001,5262.4072,5156.492399999999,3378.7057999999997,3156.3781999999997,3779.4924,4356.4098,4662.3651,5034.8948,5369.5988,4571.065799999999,4538.5808,5210.493600000001,3868.305,3574.6676,3338.576,2831.0586000000003,2600.4728999999998,1899.94,2621.326,2279.0596,3664.1868000000004,4570.3374,2708.3194000000003,2210.1774,2130.375,1609.0877999999998,2161.2096,1493.3357999999998,1071.9356,1747.5128000000002,2074.5640000000003,2441.985,2837.3493999999996,2446.3589,2427.9939,1955.6872999999998,1591.6604,1328.0718000000002,1160.1408,964.3972,618.4546,381.84959999999995,236.691,211.1732,334.9248,315.052,341.5456,260.78000000000003
Enterprise Value,10500.04,8777.68044,5818.744000000001,3337.1781999999994,5018.8948,5335.093600000001,3142.8586000000005,2347.7596000000003,2109.8774,1377.3357999999998,2161.585,2026.0872999999997,1043.2972,453.1732,695.08,651.049,		,6794.85288,10004.03,11007.477752,10699.694092,10154.8525,9609.485,12964.595,8777.68044,7483.840200000001,6079.6449999999995,4844.47,5818.744000000001,5506.9072,5342.492399999999,3704.8057999999996,3337.1781999999994,3929.4924,4422.6098,4690.1651,5018.8948,5426.998799999999,4744.465799999999,4747.980799999999,5335.093600000001,4150.205,3924.3676,4174.476,3142.8586000000005,3210.6728999999996,2325.64,2954.926,2347.7596000000003,3721.4868000000006,4472.7374,2674.2194000000004,2109.8774,2041.075,1412.5877999999998,2098.9096,1377.3357999999998,898.9355999999999,1536.8128000000002,1905.5640000000003,2161.585,2627.2493999999997,2195.6589000000004,2385.4939,2026.0872999999997,1601.1604,1438.0718000000002,1158.8408,1043.2972,726.9546,543.4495999999999,439.79100000000005,453.1732,611.9248000000001,595.7520000000001,524.4456,695.08
Net Cash (per share),-5.59,-8.42,-5.95,-6.25,-5.12,-7.3,-10.34,-6.95,-5.42,-4.62,-3.78,-7.22,-8.36,-11.69,-12.01,-12.01,		,-5.36,-5.27,-6.04,-5.49,-7.06,-7.56,-8.61,-8.42,-7.01,-5.73,-6.93,-5.95,-4.99,-4.83,-7.3,-6.25,-5.18,-4.98,-5.69,-5.12,-4.89,-5.66,-7.21,-7.3,-6.81,-6.85,-13.08,-10.34,-9.78,-7.96,-8.15,-6.95,-5.32,-3.95,-5.76,-5.42,-4.19,-3.52,-5.09,-4.62,-3.35,-2.8,-3.92,-3.78,-3.01,-2.43,-5.38,-7.22,-5.65,-7.06,-7.42,-8.36,-7.16,-8.7,-10.34,-11.69,-10.32,-9.18,-8.95,-12.01
Net Current Asset Value (per share),-2.45,-3.42,-2.14,-2.45,-1.95,-2.99,-5.03,-2.81,-1.26,-0.63,0.83,-1.12,-1.89,-3.73,-6.43,-6.43,		,-2.36,-2.27,-2.7,-2.4,-3.53,-3.8,-4.1,-3.42,-2.7,-1.87,-2.59,-2.14,-1.69,-1.74,-3.06,-2.45,-1.96,-1.91,-2.35,-1.95,-1.85,-2.22,-3.21,-2.99,-2.87,-2.9,-7.49,-5.03,-4.76,-3.7,-3.74,-2.81,-1.99,-0.81,-1.98,-1.26,-0.61,-0.03,-1.21,-0.63,0.18,0.74,0.4,0.83,1.42,2.01,-0.35,-1.12,-0.41,-1.32,-1.58,-1.89,-1.7,-2.65,-3.43,-3.73,-3.58,-3.39,-3.91,-6.43
Projected FCF (per share),19.37,16.71,18.61,28.46,37.31,30.84,33.08,32.78,29.01,27.97,24.95,27.48,26.11,17.92,8.8,8.8,		,0,21.87,15.19,19.37,15.55,15.58,14.95,16.71,16.18,17.42,19.26,18.61,20.31,21.9,22.41,28.46,30.11,30.91,31.74,37.31,38.15,30.49,28.34,30.84,28.74,26.64,25.56,33.08,27.51,27.9,29.52,32.78,30.83,29.54,29.56,29.01,27.38,27.2,28.4,27.97,27.94,26.94,25.34,24.95,25.12,26.89,27.26,27.48,31.2,31.06,33.59,26.11,29.98,25.59,23.63,17.92,16.8,15.28,14.33,8.8
Median PS (per share),10.52,12.63,13.02,13.32,14.31,15.51,18.02,18.23,16.33,17.05,17.62,18.48,22.11,19.92,17.74,17.74,		,11.63,10.76,10.09,10.52,10.97,11.37,11.89,12.63,12.92,13.02,12.97,13.02,12.91,12.97,13.07,13.32,13.63,13.91,14.15,14.31,14.51,14.73,14.99,15.51,15.73,16,16.76,18.02,18.8,19.37,19.09,18.23,17.56,16.85,16.49,16.33,16.32,16.76,17.21,17.05,17.45,17.5,17.45,17.62,17.7,17.61,17.77,18.48,19.17,19.94,21.04,22.11,21.94,21.67,21,19.92,19.56,19.51,18.99,17.74
Peter Lynch Fair Value (per share),20.36,45.98,21.3,21.93,14.04,0,14.06,4.59,0,0,0,20.16,0,0,0,0,		,5.03,8.77,13.26,20.36,24.66,29.89,36.59,45.98,43.35,39.1,35.1,21.3,23.3,25.05,15.16,21.93,22.73,22.13,19.56,14.04,0,0,0,0,10.53,11.07,15.85,14.06,11.54,6.76,2.49,4.59,6.49,0,0,0,0,0,0,0,0,0,0,0,9.92,14.13,19.3,20.16,19.24,14.21,5.62,0,0,0,0,0,0,0,0,0
Graham Number (per share),11.51,14.52,9.53,12.33,13.85,16.69,14.05,7.61,15.4,14.98,17.23,17.53,10.47,0,0,0,		,6.35,9.13,10.48,11.29,11.83,12.33,13.22,14.52,14.44,13.66,12.81,9.53,10.08,10.42,10.42,12.33,12.27,12.69,13.05,13.85,14.66,15.32,15.59,16.69,16.37,16.39,14.69,14.05,12.96,11.22,5.61,7.61,9.6,12.3,14.23,15.4,15.74,15.97,16.17,14.98,15.89,16.66,16.44,17.23,17.99,18.46,18.14,17.75,17.23,16.14,13.65,10.47,6.64,0,0,0,0,0,0,0
Altman Z-Score,8.47,6.54,6.31,5.61,5.95,5.79,5.22,4.94,5.66,4.85,5.22,4.73,4.14,2.9,2.73,2.71,		,7.38,9.01,8.36,8.47,8.01,7.43,7.96,6.54,7.03,6.82,5.88,6.31,6.8,6.67,5.27,5.61,6.45,6.72,6.4,5.95,6.46,6.24,5.72,5.79,5.92,5.96,5.1,5.22,5.71,5.6,5.21,4.94,6.34,6.72,6.14,5.66,6.26,5.88,5.27,4.85,4.91,5.2,5.09,5.22,5.75,5.41,5.53,4.73,5.66,4.77,4.27,4.14,4.13,3.49,3.16,2.9,3.22,3.39,3.52,2.73
Piotroski F-Score,7,6,5,7,8,8,4,5,7,6,6,4,6,3,3,3,		,5,5,5,7,7,7,6,6,7,5,5,5,5,4,5,7,8,8,8,8,8,8,7,8,6,7,5,4,4,5,7,5,7,8,8,7,6,6,7,6,6,6,7,6,5,4,7,4,5,5,6,6,6,5,3,3,2,2,3,3
Beneish M-Score,-2.75,-1.54,-3.93,-3.5,-3.47,-2.07,-2.35,-3.16,-2.59,-2.56,-2.32,-2.2,-2.9,-2.46,-4.15,-4.15,		,-1.91,-1.84,-2.23,-2.75,-2.92,-2.64,-2.16,-1.54,-1.83,-2.62,-3.24,-3.93,-4.05,-4,-3.71,-3.5,-3.42,-3.22,-3.7,-3.47,-3.27,-2.6,-2.26,-2.07,-1.94,-2.26,-1.91,-2.35,-1.84,-2.3,-3.26,-3.16,-4.04,-3.63,-3.07,-2.59,-2.54,-2.49,-2.49,-2.56,-2.67,-2.6,-2.39,-2.32,-2.07,-1.95,-2.5,-2.2,-2.53,-2.61,-2.82,-2.9,-3.12,-3.03,-2.3,-2.46,-2.55,-3.1,-3.83,-4.15
Highest Stock Price,78.5,69,32.84,30.2,32.15,33.48,27.1,20.4,34.85,19.36,20.27,22.85,15.69,4.06,4.19,,		,31.91,48.88,55.5,78.5,56.31,58.56,69,68.63,55.19,38.5,32.84,30.9,31.52,36,30.2,23.75,22.41,26.55,31.57,32.15,35.41,33.33,29.57,33.48,34.3,26.11,27.1,24.73,22.9,18.83,19.71,20.4,27.25,34.91,34.85,22.76,19.23,17.5,19.36,16.82,12.79,15.11,17.28,20.27,23.65,23.86,22.41,22.85,18.56,16.52,15.69,13.69,10.96,6.34,4.06,2.57,3.78,4.19,4.19,3.52
Lowest Stock Price,21.44,36.63,21,17.51,19.02,26.17,20.69,13.76,16.81,8.11,6.52,18.18,9.23,1.91,2.08,,		,21.44,30.5,40.81,42.5,36.63,38.5,46.44,40.88,33.05,25.88,21,23.96,26.59,28.62,19.9,17.51,19.02,21.63,25.61,28.14,29.39,28.63,26.17,28.4,24.3,23.17,23,20.69,18.74,14,13.76,16.49,16.81,26.9,20.2,16.86,14.26,12.27,12.04,8.11,6.52,8.78,12.93,15.03,18.59,19.06,18.3,18.18,13.93,12.49,11.62,9.23,6.22,3.84,2.38,1.91,2.08,3.02,2.46,2.6
Tangibles book per share,3.7,4.37,3.98,4.32,4.69,5.82,4.37,4.76,5.83,6.59,8.06,7.58,7.21,5.64,1.93,1.93,		,3.82,4.06,3.99,3.63,3.34,3.47,3.84,4.37,4.59,4.52,4.35,3.98,4.09,4.04,3.93,4.32,4.32,4.42,4.43,4.69,4.99,5.19,5.13,5.82,5.8,5.98,3.73,4.37,4.52,4.53,4.42,4.76,5.16,5.88,5.35,5.83,6.19,6.53,6.28,6.59,7.25,7.68,7.99,8.06,8.51,8.93,7.63,7.58,7.91,7.66,7.63,7.21,7.03,6.7,6.29,5.64,5.25,4.72,3.57,1.93
